Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,No. of mining contracting staff: in WA,No. of mining contracting staff: Interstate,Notable clients,Offices in WA,Offices interstate,Services offered,% of work Mining,Mining Areas covered,Mining services revenue most recent year,Mining services revenue previous year,WA Revenue most recent financial year,WA Revenue previous financial year,Is the organisation headquartered in WA?,Ultimate holding company
MCT Equipment,115,86,Anthony Grosser(Managing Director),2021,25,,,,1,,"MCT Equipment supplies and maintains new and used…MCT Equipment supplies and maintains new and used mobile cranes, telehandlers, and associated lifting products throughout Western Australia and the Northern Territory. Across construction, mining, infrastructure and marine lifting settings, MCT Equipment’s key focus is on innovation, safety and efficiency.",100,,,,,,Yes,
ECG Engineering,79,65,"Geoff Bailey(Principal Consultant, Director)",2014,86,61,21,,1,1,"Project management, power generation, power…Project management, power generation, power systems, control systems, plant integrity, operations support, automation systems.",90,All of Australia and significant international…All of Australia and significant international capacity,NFP,NFP,NFP,NFP,Yes,
Immersive Technologies,40,31,David Anderson(Chief Executive),1993,216,,,,2,1,"Supplier of workforce development solutions,…Supplier of workforce development solutions, including surface and underground mining equipment simulators and digital learning products for training to the global mining industry.",100,,,,$65.52m,$50.77m,Yes,Immersive Corporation Pty Ltd
Chrysos Corporation,110,93,,2016,NFP,,,,1,1,,NFP,,,,,,Yes,
DUG Technology,74,50,Matthew Lamont(Managing Director),2003,100,,,,1,,"Exploration and production services to the global…Exploration and production services to the global oil and gas industry: Illumination Studies, Seismic Data Processing, Multi-parameter Full Waveform Inversion (FWI), Depth Imaging, Petrophysical Processing and Interpretation, Quantitative Interpretation Services, Geostatistical Depth Conversion",NFP,,,,,,Yes,
Cerclos,138,,"Alexander Bruce(Co-Founder, Chair)",2011,15,,,,,,,20,,,,,,Yes,
Brindabella Resources,129,127,Elsa Derschow(Director),2016,NFP,,,,1,,,NFP,,,,,,Yes,
Palyku Resources,108,115,Angelo Radeski(Director),2020,NFP,,,,1,,"Labour, plant, camp services, non-process…Labour, plant, camp services, non-process infrastructure, bus and transport services.",NFP,,,,,,Yes,
Riguez Contracting,141,117,Angelo Radeski(Director),2021,NFP,,,,1,,"Labour, plant, camp services, non-process…Labour, plant, camp services, non-process infrastructure, bus and transport services.",NFP,,,,,,Yes,
Breight Group,18,13,Stephen Easterbrook(Managing Director),2007,650,600,2,"Rio Tinto, Roy Hill, Fortescue, Newmont, Chevron,…Rio Tinto, Roy Hill, Fortescue, Newmont, Chevron, Mineral Resources, BHP",3,1,Breight Group is a leading West Australian…Breight Group is a leading West Australian company providing specialist access and mechanical services to the resources sector.  Their unique training facility supports their approach to Safety At All Levels.,100,Western Australia,$77.29m,$77.29m,$77.29m,$77.29m,Yes,Breight Pty Ltd
PMW Industries,91,,Paula White(Managing Director),2019,54,,,"BHP, Rio Tinto, MRL",2,,"Rail & civil maintenance, Crushing & Screening,…Rail & civil maintenance, Crushing & Screening, Land Rehabilitation, Load and Haulage",95,Pilbara,,,,,Yes,100
Emyjor Services,,,,,,,,,,,,,,,,,,Yes,
GenusPlus Group,13,14,David Riches(Managing Director),2017,700,,,"Rio Tinto, Fortescue Metals Group, BHP,…Rio Tinto, Fortescue Metals Group, BHP, Goldfields, Telstra, Horizon Power",3,5,"GenusPlus Group (ASX:GNP) is an end to end…GenusPlus Group (ASX:GNP) is an end to end service provider for essential power and telecommunications infrastructure.

We provide an integrated service delivered through four key complementary businesses to our clients in the resources, power, utilities, and telecommunications sectors across Australia.

Built on a bedrock of three generations of accumulated family expertise, today the GenusPlus Group is a leading ASX-listed provider of critical infrastructure services to a blue-chip client base.",NFP,"Pilbara, Kimberley, Goldfields",,,NFP,,Yes,
LGM Industries,82,,,2009,84,,,"Newmont, South 32, Iluka Resources",1,,"LGM specialises in SMP services across a range of…LGM specialises in SMP services across a range of sectors including resources, energy, industrial and utilities.",50,South West,,,NFP,NFP,Yes,
CAPE Dunstans,62,42,Greg Hutchinson(Chief Executive),1995,150,150,,"Anglo Gold Ashanti, Fortescue Metals Group,…Anglo Gold Ashanti, Fortescue Metals Group, Pilbara Minerals, Regis Resources, Tawana Resources, Talison Lithium, Salt Lake Potash, Newmont, Rio Tinto",1,,"A unison of Cape Crushing and Earthmoving and…A unison of Cape Crushing and Earthmoving and Underground Services Australia, Cape is a trusted and respected West Australian company that provides innovative and cost effective solutions to businesses operating in the resources, utilities and infrastructure sectors. Areas of expertise include civil, mining services and underground utility installation and maintenance, cashing & screening.",80,,,,,,Yes,
LIFTR,,,,2023,,,,,,,,,,,,,,Yes,
Ironstone Australia,128,,Richard Tester(Managing Director),2022,20,,,Fortescue,,,"Construction, project management, electrical…Construction, project management, electrical contractor, battery/BESS/PV/electrical systems contractor",,"Chichester Traditional Owner, and more broadly…Chichester Traditional Owner, and more broadly Pilbara.",,,,,Yes,
North West Mining & Civil,68,,,2014,110,110,,,3,,"North West Mining & Civil (NWMC) delivers premium…North West Mining & Civil (NWMC) delivers premium civil construction and mining services throughout Western Australia’s Pilbara region. We’re conveniently and locally placed with premises in key locations in the Pilbara including Karratha, Tom Price, and Paraburdoo, with a head office in Perth. This enables us to deliver rapid localised support as we strive to exceed needs and expectations through a holistic approach to service delivery. From safety to efficiency we prioritise every aspect of our operations to ensure the best possible outcomes.",85,,,,,,Yes,
Byrnecut,3,2,Steve Coughlan(Executive Chair),1987,"3,300","2,760","1,732",,,,Underground mine development and production and…Underground mine development and production and associated ancillary services.,100,,$1.97bn,$1.91bn,$2.02bn,$1.94bn,Yes,
Bez Engineering,,,,2000,,,,,,,,,,,,,,Yes,
Integrate Sustainability,150,125,"Belinda Bastow(Owner, Director)",2014,11,,,,1,,"Environmental and sustainability integration and…Environmental and sustainability integration and awareness, environmental impact assessments. Baseline survey and study facilitation. LGA, State and Commonwealth approvals – advice, submission and stakeholder liaison. Environmental compliance mapping and audits. Environmental monitoring including planning and implementation. Closure planning, rehabilitation and restoration. Project scoping and feasibility assessments.
Environmental expert and peer reviews. Risk assessment and incident investigation.
Environmental training and awareness packages for natural resource activities.
Developing and implementing environmental monitoring activities.
Assessing waste and water usage to implement cost saving strategies.
Dust, pollution and noise assessments and providing suitable management strategies.
Safety training and awareness packages.
Safety culture surveys, safety and sustainability integration and cultural change.
Workplace safety integration, hazard and risk assessment facilitation, compliance and safety auditing including incident investigation, coaching and mentoring safety personnel.
Management system development and implementation, solution identification. Safety training and awareness packages for people working in remote areas.
Third party incident investigations, management system development, implementation and assurance. Development and integration of customised mobile applications. HSE software selection and implementation, third party auditing and assurance, HSET practical solution identification. Business process review and improvements. Process mapping, project management, closure planning, native title and heritage legislation awareness.
Assist and implement community engagement strategies, promoting positive relationships.
Processes and procedures to negotiate, implement and ensure compliance with Aboriginal heritage and native title land access agreements. Facilitate meetings with Aboriginal corporations and communities. Cultural Awareness Training – material development and workshop facilitation. Aboriginal Heritage desktop assessments, archival research and data management. Management and coordination of Ethnographic and Archaeological heritage surveys. Heritage and land access approvals (including section 16 and section 18 submissions) Aboriginal heritage management plans, auditing and compliance reviews,
stakeholder mapping and identification. Implementation of engagement strategies, promoting positive relationships and outcomes. Independent meeting facilitation and negotiations.
Develop and implement Stakeholder Management plans. Identify community needs and implement community development programmes. Develop and implement communication strategies and plans. Risk identification and mitigation. Facilitate community information workshops and distributions. Implement community feedback and enquiry processes.",80,"Pilbara, South West, Mid West, Great Southern,…Pilbara, South West, Mid West, Great Southern, Goldfields",,,,,Yes,
Redpath Australia,,46,Gavin Ramage(Managing Director),2008,,"1,000",NFP,,1,1,"Redpath Australia are a leading underground…Redpath Australia are a leading underground mining services contractor with offices in Brisbane and Perth. We provide safe, economical and innovative solutions. Our professional and innovative employees, supported by effective business systems and processes, underpin our business success.

We strive to be the safest company to work for in our industry – our commitment is that all our employees return home unharmed every day.

We establish long-term, stable relationships with our Clients’, providing a level of service exceeding industry standards, and are viewed as a continuing partner in their underground operations.

We provide a supportive and rewarding work environment that attracts and retains employees who are valued and developed within our organisation.

We aim to be the preferred contractor to mine owners and operators that seek to engage a contractor with similar values and is supportive of a strong safety culture.

Throughout the continent and the Asia-Pacific Region, we provide:
- Traditional Underground Metalliferous Services
- Vertical Development
- Civil Services
- Coal Services",100,,,,,,Yes,Redpath Mining Inc
FMS Group,,,,,,,,,,,,,,,,,,Yes,
Silverstone,85,,,2018,75,400,,,,,,90,,,,,,Yes,
Allied Pumps,64,,Greg Slack(Director),1933,NFP,,,Rio Tinto,3,3,"Design, manufacture and supply of pumping,…Design, manufacture and supply of pumping, treatment and storage systems for the full cross-section of mining activities, locally and internationally.",NFP,,,,,,Yes,
RCT,42,27,"Brett White(Chief Executive Officer, Executive Director)",1972,210,,,"BHP, AngloGoldAshanti, Goldfields, Barrick,…BHP, AngloGoldAshanti, Goldfields, Barrick, Barminco, South 32, Roy Hill, Xstrata, Perilya, Rio Tinto, Newcrest, Newmont, Glencore.",2,2,"OEM and independent global leading provider of…OEM and independent global leading provider of interoperable off-the-shelf and customised autonomous and semi-autonomous remote control solutions for mobile equipment;  machine protection; machine data and analytics; machine health reporting; spare parts, general electrical parts; service and repair.",90,Global,$105.00m,$96.00m,,,Yes,Epiroc AB
Sitech WA Pty Ltd,78,92,Allan Hubble(Managing Director),2009,87,,,"Rio Tinto, BHP, FMG, Sarencen Gold, Iluka, Onslow…Rio Tinto, BHP, FMG, Sarencen Gold, Iluka, Onslow Salt, Dampier Salt,  Georgiou, LendLease.",2,8,"Supply of Trimble positioning technology for semi…Supply of Trimble positioning technology for semi-automation of heavy plant, including collision detection. Design, construct and supply wireless MESH Rajant networks for the Mining Industry. Supply and install Groundworks drill systems. Supply and calibration of Loadrite Electronic Weighing Systems for Loaders, Excavators, Hydraulic Shovels and Conveyors. LFT certified by NMI.",70,All of Australia,,,NFP,NFP,Yes,"51% WesTrac Pty Ltd, 49% Venture Corp Pty Ltd"
REGROUP,39,,Michael Still(Managing Director),2006,220,220,50,"MRL, Newmont, Element 25, Han Roy, Roy Hill, BHP,…MRL, Newmont, Element 25, Han Roy, Roy Hill, BHP, Austral Resources",3,1,,80,"Pilbara, Kimberley, Mid West, Goldfields, QLD",$120.00m,NFP,$140.00m,$81.00m,Yes,
BMR Piping & Civil,109,92,Steven Bowron(Chief Executive Officer),2022,31,26,,"Goldfields Australia, MLG, Iron Mine Contracting,…Goldfields Australia, MLG, Iron Mine Contracting, Liontown",2,,"Repair, replacement and installation of high…Repair, replacement and installation of high density polyethylene (HDPE) pipe and HDPE lining to tailings dams/process ponds/hydrocarbon facilities.",100,"Goldfields, Pilbara",NFP,NFP,NFP,NFP,Yes,
Maptek,132,107,Eduardo Coloma(Chief Executive),1981,NFP,,,"Anglo American, BHP, Rio Tinto, FMG, Glencore,…Anglo American, BHP, Rio Tinto, FMG, Glencore, Yancoal, Newmont",1,3,"Maptek provides software solutions for the mining…Maptek provides software solutions for the mining industry, including 3D geological modelling, mine planning, resource tracking, drill and blast management, and stability monitoring. Additional solutions cover data management, proximity awareness, and LiDAR-based monitoring. Maptek also offers consulting, IT solutions, and training programs globally",100,All,,,,,Yes,
FMR Investments,53,,Charles Watson(Finance Director),1989,NFP,,,,1,,"Gold miner
Toll treatment
NOT MINING SERVICES…Gold miner
Toll treatment
NOT MINING SERVICES CONTRACTING",NFP,,NFP,NFP,,,Yes,
Raw Hire,139,106,"Lisa Clarke(Co-Founder, Director)",1998,15,,,"Chevron, BHP, Rio Tinto, Woodside, CBI,…Chevron, BHP, Rio Tinto, Woodside, CBI, Government, Clough, Yara,",2,,"Short and long term vehicle rental and services,…Short and long term vehicle rental and services, fleet supply, remote project hire. Long term vehicle and fleet hire including light commercial vehicles, trucks, crane trucks, tip trucks, water trucks, buses, custom vehicles, service trucks. Vehicle sales - light commercial, trucks and buses.",70,"Pilbara, Mid West, Gold Fields,  Kimberley, Perth…Pilbara, Mid West, Gold Fields,  Kimberley, Perth, Peel, Boddington, Wheatbelt, Northern Territory, Queensland, Western Australia, Australia, Australia wide",,,,,Yes,
First Nation Engineering,14,,"Daniel Tucker(Co-Founder, Chair)",2022,NFP,,,,1,,"Design, construction and maintenance services.",NFP,,,,,,Yes,
Cleveland Compressed Air Services,126,106,Aaron O'Connor(Manager ),1994,20,6,,"Northern Star, Ausdrill, Boral, BGC, Chevron, GR…Northern Star, Ausdrill, Boral, BGC, Chevron, GR Engineering Services,  Lycopodium, Sedgman, Mining and Civil Australia. Northern star recourses",3,,"Sales and service of air compressors, compressed…Sales and service of air compressors, compressed air dryers, compressed air filtration, compressed air piping and associated equipment.",30,"Kalgoorlie, Goldfields, Port Hedland",,,NFP,NFP,Yes,O'Connor Holdings
Kais Hire Pty Ltd,153,127,Sharon Kais(Director/Secretary),2004,10,,,"Carey Group, Ertech, Piacentini, CPB Contractors,…Carey Group, Ertech, Piacentini, CPB Contractors,  MACA, FMG,",1,,"Kais Hire prides itself as being a leader in the…Kais Hire prides itself as being a leader in the plant hire industry. We will offer solutions for our clients and their projects by providing wet and dry hire options, skilled labour hire and purchasing new fleet for long term hire arrangements. All machinery meets mine specifications and OEM standards.

Quality, Reliability, Performance and Service is the key!

Kais Hire chooses quality and reliable equipment from Caterpillar, Hino, Volvo and Isuzu, who provide warranty, service, maintenance and parts to our business.

The Kais Team prides itself on delivering great customer service in line with our vision and values. 

Kais offers cost effective solutions for the clients project requirements in our hire agreements.  We ensure we are responsive to all enquiries, servicing, maintainence, parts and downtime.",75,"Pilbara, North West, South West, Metro",,,,,Yes,
Helicopter Logistics,119,,Matt Corbett(Managing Director),2005,NFP,NFP,,,2,,"Airborne geophysical
Crew transport
Mining…Airborne geophysical
Crew transport
Mining support
Lifting / construction (external load)",NFP,All of WA,,,,,Yes,
Mineral Mining Services,30,,Robert Ryan(Chief Executive),2022,300,,,"Silverlakes resources, Black Cat Syndicate,…Silverlakes resources, Black Cat Syndicate, Covelant",2,,"contract mining services
mining technical…contract mining services
mining technical services 
Mine site support
Engineering support
dry and wet hire
workshop support
heavy haulage transport
drill and blast services",100,Goldfields,,,,,Yes,
HeliSpirit,86,67,Michael McConachy(Managing Director),1984,65,,,"IGO Limited, Valperlon Group, Rio Tinto, Telstra,…IGO Limited, Valperlon Group, Rio Tinto, Telstra, BCI Minerals, Novo Resources, BBI Group, Northern Minerals",3,,"Crew transfers, power line inspections, mining…Crew transfers, power line inspections, mining support, low level survey, geo-survey and mapping, aerial sling load, telecommunications support, passenger charter, film and photography, search and rescue, medical evacuations, flood relief, fire fighting, aerial fire suppression, emergency evacuation.",30,"Pilbara, Kimberley",,,,,Yes,HM Consolidated Pty Ltd
BlackBox Control,140,,Mark Langford(General Manager),2002,15,,1,"Rio Tinto, BHP, MRL",1,1,"BlackBox provides services that let you Take…BlackBox provides services that let you Take Control of your fleet and assets using real-time location monitoring, analysis of driver behaviour, compliance, monitoring of utilisation and fatigue management. Lone worker solutions available for both safety and communication applications. BlackBox is a specialist in satellite communication options. Take Control over all machinery and assets.",25,"Pilbara, Goldfields",,,,,Yes,
Catalpa,19,,"Tara Cox(General Manager, Australia & New Zealand)",2009,NFP,,,,,,,NFP,,,,,,Yes,
JMH Group WA,87,,"Jaydon Hirst(Co-Founder, Director)",2011,NFP,NFP,,,2,,"Mobile Plant Mechanical Repairs and Services …Mobile Plant Mechanical Repairs and Services (heavy duty diesel mechanics, auto electricians, boilermakers) and specialised contractor support.",NFP,"Mid-West, Goldfields, Pilbara",NFP,NFP,NFP,NFP,Yes,
Wood Australia,45,,"Greg Hayes(Senior Vice President, Mining & Minerals Australia)",1978,200,,25,"Albemarle, Rio",,1,"Feasibility studies, BFS, FEED, detail design,…Feasibility studies, BFS, FEED, detail design, EPCM, EPC",25,,,,,,Yes,
UON,31,25,"Mark Keogh(Founder,  Executive Chair)",1998,285,NFP,,,,,"Energy solutions for remote mining and industrial…Energy solutions for remote mining and industrial operations, including renewable generation inputs. Water solutions spanning dewatering, tailings management, deep well extraction and potable water management. Equipment Hire - Power and dewatering solutions. Infrastructure construction and equipment installation. Design and manufacturing in Western Australia.",90,"All areas of WA, especially Pilbara and Goldfields",,,,,Yes,
Red Arrow Group,50,,Richard Tester(Managing Director),2013,185,185,,Fortescue,1,,"Labour Hire, Recruitment, Permanent Placement",100,,,,,,Yes,
Westfill Group,,,,,,,,,,,,,,,,,,,
Facilita Consulting,165,128,"Susanna Durston(Director, Principal Facilitator)",2021,2,,,,1,,"Strategic planning, change management, business…Strategic planning, change management, business improvement, project management, organisational development and group facilitation.",25,,,,,,Yes,Facilita Consulting Pty Ltd
Echo Marine Group Pty Ltd,,,,2010,,,,,,,,,,,,,,Yes,
Camco Engineering,22,,Bruce Cameron(Executive Director),1995,480,370,,"RTIO, FMG, Iron Bridge, BHP Billiton, Dampier…RTIO, FMG, Iron Bridge, BHP Billiton, Dampier Salt, Roy Hill, ExxonMobil",6,,"Camco Engineering is a key supplier of…Camco Engineering is a key supplier of operational support and 
manufacturing services to the mining, energy and power generation 
sectors.",80,"Pilbara, Goldfields",$121.00m,$108.00m,$147.60m,$129.90m,Yes,
PARC Engineering,15,,Daniel Debattista(Managing Director),2018,687,,,"Fortescue, Roy Hill, Iluka, BHP",3,,"Construction, shutdown and maintenance services…Construction, shutdown and maintenance services in civil, mechanical and electrical disciplines.",NFP,"Pilbara, Goldfields",,,,,Yes,
Aquip Systems,144,104,Jodie Draper(Managing Director - HIFraser Group),1991,13,,,"BHP, Rio Tinto, FMG, Newcrest, KCGM, Alcoa, South…BHP, Rio Tinto, FMG, Newcrest, KCGM, Alcoa, South 32",1,3,"Laser shaft alignment, vibration monitoring, flow…Laser shaft alignment, vibration monitoring, flow metering,",30,"Pilbarra, Kimberley, Goldfields, South West",$850.00k,$2.16m,NFP,NFP,Yes,HIFraser Group
TotalEnergies Australia,154,120,Troy Baxter(State Manager WA & NT),,NFP,NFP,10,,,,,NFP,,,,NFP,NFP,Yes,
SIMPEC,,,,2017,NFP,NFP,NFP,"Fortescue, BHP, RioTinto, Pilbara Minerals, Alcoa…Fortescue, BHP, RioTinto, Pilbara Minerals, Alcoa, Hitachi, Acciona, Tianqi Lithium, Talison, Iluka, CPB, Alinta, NEWest Alliance","6,153","2,015","Structural, Mechanical, Piping, Instrumentation,…Structural, Mechanical, Piping, Instrumentation, Electrical, Civil services across the Resources, Renewables and Infrastructure industries.",NFP,"Pilbara, South West Australia, Midwest",NFP,NFP,NFP,NFP,Yes,
Delonix Solutions,76,,"Philippe Vatin(Founder, Managing Director)",2011,90,90,,"Northern Star, Lynas Rare Earth, Iluka Resources,…Northern Star, Lynas Rare Earth, Iluka Resources, Primera Group",2,,"Brownfield and greenfield mineral processing…Brownfield and greenfield mineral processing plant design, structural engineering, piping design, mechanical engineering, civil engineering, surveying, laser scanning, design and fabrication drawing.",,,,,,,Yes,
QSD Hire,,,Neal Guilmartin(Managing Director),2012,,,,,,,,,,,,,,,
Webdrill Australia,,,,2014,,,,,,,,,,,,,,,
Fuelfix,,,"Mark Westbrook(Founder, Chair)",2006,,,,,,,,,,,,,,,
Perenti,2,3,Mark Norwell(Managing Director & Chief Executive Officer),1987,"4,155",,,,,,"Underground mining, surface mining, drilling…Underground mining, surface mining, drilling services, support mining services, supply & logistics, technology solutions.",100,,$3.34bn,,,,Yes,Perenti Limited
Mader Group,6,7,"Justin Nuich(Chief Executive, Executive Director)",2005,"2,400","2,400",NFP,"Rio Tinto, BHP, FMG, Roy Hill",3,1,"Preventative Maintenance, Rapid Response Teams,…Preventative Maintenance, Rapid Response Teams, Shutdown Services, Field Maintenance Services, Rostered support, Drill Support Teams, Mader Clean Team (mobile plant), Fabrication and Line Boring Specialists, Automotive and High Voltage Electrical Specialists, Air Conditioner Maintenance, TAs, Maintenance Project Solutions, Rail & Road Transport Support, Specialised Tool Hire, Workshop Services, Training & Mentoring, Energy Equipment Maintenance.",90,"All major mining regions in Australia (and…All major mining regions in Australia (and international mining regions in Asia, Africa and the America)",NFP,NFP,,,Yes,Mader Group Limited
High Grade Mechanical,46,33,Jennie Ironside(Owner ),2011,200,,,"BHP, NRW, MRL, Westgold, Thiess, Downer, MacMahons",4,,HME Maintenance.,85,Western Australia,,,,,Yes,
Streamline Connect,67,55,"Nick Jenkins(Director, Company Secretary)",2017,120,,,"BHP, Rio Tinto, FMG, Telstra, Optus",,,"Leading Western Australian telecommunications…Leading Western Australian telecommunications infrastructure provider and innovator of off-grid 'Zero Emission Rooms', Streamline Connect enables companies to execute projects sustainably, reducing environmental impact and operational costs.",50,Western Australia,,,,,Yes,
Komatsu Australia,11,7,"Glenn Swift(Regional General Manager, Western)",1921,"1,200",,,,1,3,"Mining, construction and utility equipment,…Mining, construction and utility equipment, aftermarket service and parts support, technical support services, contract maintenance, RTO training, finance, condition monitoring services, pre-owned equipment. Re-manufacturing and service exchange components.",70,,,,,$2,Yes,
Lakes Electrical Distributors,133,,Jim Fleming(Managing Director),1992,16,,,"KOCGM,",3,,electrical wholesalers,60,ALL OF AUSTRALIA,,,,,Yes,GLOSTER PTY LTD
Beaver Process Equipment,70,61,Joshua Beaver(Managing Director),1988,NFP,,,,1,1,High-performance slurry transfer systems in…High-performance slurry transfer systems in mineral process plants and pipelines.,100,Global,,,,,Yes,Beaver Group
Global Civil and Mining,99,,Kane Blackburn(Managing Director),2004,NFP,NFP,NFP,"BHP, CPB, Fulton Hogan, FMG, NRW, Rio Tinto, …BHP, CPB, Fulton Hogan, FMG, NRW, Rio Tinto,  Ertech, Thiess, Austral,",2,1,"Surface mining. Civil & mining, bulk earthworks,…Surface mining. Civil & mining, bulk earthworks, elective material extraction. 
Our fleet of surface miners can cut, crush and load material in a single pass, eliminating the need for drill and blast, and primary crushing.
In civil applications surface miners are used for accurate cut to fill operations to prepare sites for civil projects.",NFP,"Australia wide - Pilbara, Kimberley, Mid West,…Australia wide - Pilbara, Kimberley, Mid West, South West, Goldfields, Wheatbelt, Hunter Valley, Bowen,",NFP,NFP,NFP,NFP,Yes,
Brooks Hire Service,33,,"Doug Brooks(Founder, Chief Executive)",1979,278,,,"NRW, Wormall Civil, Fortescue Metals Group (FMG),…NRW, Wormall Civil, Fortescue Metals Group (FMG), THE Mining, SRG Global Mining, UON Pty Ltd, MACA Mining, Downer EDI, Hancock Prospecting Pty Ltd",15,11,"Dry hire of mining and construction equipment,…Dry hire of mining and construction equipment, Site services - design, install, and maintenance, Transport of heavy equipment, hire and sales of access equipment, earthmoving and construction equipment sales.",59,"Pilbara, Kimberley, Goldfields, Great Southern,…Pilbara, Kimberley, Goldfields, Great Southern, Wheatbelt, Mid-West, Southwest, Perth",,,,,Yes,
KAW Group,92,,Jared Fitzclarence(Managing Director),1983,54,52,,"RioTinto, BHP, Citic, FMG, Yara, Woodside",3,,"Mechanical & structural engineering; engineering…Mechanical & structural engineering; engineering fabrication & maintenance; advanced welding services - welding QA, exotic metals, HEM, structural; hydraulic power systems; hydraulic hoses and cylinders; 3D laser scanning; engineering design & drafting; site project services",38,Pilbara,$16.40m,$12.10m,$22.60m,$17.20m,Yes,KAW Engineering Pty Ltd
Black Diamond Drilling Services Australia,116,,Andy Yang(Managing Director),1999,25,NFP,30,FMG/RIO TINTO/CITIC PACIFIC MINING/NEWMONT,2,3,"Drilling equipment and tools for mineral…Drilling equipment and tools for mineral exploration, mining, water well and geotechnical sectors.",95,Pilbara/Goldfields/Bowen Basin/Sudbury,NFP,NFP,NFP,NFP,Yes,Black Diamond Drilling Services Australia
Jevons Robotics,145,,Todd Peate(Chief Executive),2022,13,1,1,,1,,,90,,,,,,Yes,
Murray Engineering,25,22,Mark Coughlan(Chief Executive Officer),2006,388,,,,2,2,"Underground electrical starter panels,…Underground electrical starter panels, distribution boards, MCC's and skid-based substations, trailing cable repair and supply, surface and underground electrical installations, vertical cable installations, mechanical and electrical engineering, HV cable terminations, underground machine retrieval services, underground machine rebuilds and repairs, mine-spec light vehicles, hydromining and solids dredging, pump audits and testing, pump overhaul and repair, motorisation and skid packaging, pump rental and aftermarket services, stainless steel fabrication for water and wastewater applications, automation & control systems including TeleOp and RRC, underground machine hire/sales, underground safety products, service exchange components and spare parts, component refurbishment and testing, site maintenance and repair contracts, blast and spray painting, custom fabrication and repair, sheet metal services, structural steel, modular structures, and skid-based equipment.",80,"Goldfields, Peel, Pilbara, Kimberley, Hunter,…Goldfields, Peel, Pilbara, Kimberley, Hunter, South Australia, Bowen Basin, Latrobe Valley, Tasmania",NFP,NFP,NFP,NFP,Yes,
Myelec Electrical Wholesalers,89,,Bradley Rzemek(General Manager),2006,NFP,,NFP,"Rio Tinto, Woodside, Acciona, BHP, Fortescue…Rio Tinto, Woodside, Acciona, BHP, Fortescue Metals, Linkforce, Ventia",10,,ElectricalIndustrialMining Services,NFP,All of WA,NFP,NFP,NFP,,Yes,
Northfleet,34,26,"James Staples(General Manager, Sales)",2006,250,,,Rio Tinto; Woodside; BHP Iron Ore; Civmec;…Rio Tinto; Woodside; BHP Iron Ore; Civmec; Primero; Oz Minerals; Fortescue; Sodexo; Duratec; Monadelphous; McConnell Dowell; Maca; PLS; Downer; Warrikal; Greatland; Newcrest; Linkforce; Mineral Resources; NRW; Ventia; Pilbara Ports,6,,"Fully mine-spec small and large buses, 4WD's,…Fully mine-spec small and large buses, 4WD's, trucks and light vehicle hire; Remote Minesite Transfers (shutdowns, camps, airports); Ad-hoc bus charters; Mobile Crane dry and wet hire; OSOM, logistics support, general freight, oversize transport, heavy haulage, line hauling, hot shot trucking, specialised projects, and time-critical services.",NFP,"Pilbara, Perth Metropolitan, Goldfields, South…Pilbara, Perth Metropolitan, Goldfields, South West",,,,,Yes,
MLG Oz,10,13,"Murray Leahy(Founder, Chief Executive, Managing Director)",2002,"1,400",150,25,"Northern Star Resources, Gold Fields, Ramelius…Northern Star Resources, Gold Fields, Ramelius Resources, Westgold, Newmont Corporation, Evolution Mining, Vault Limited, Genesis Minerals, Fortescue, Ora Banda Mining, Roy Hill",2,,"Bulk ore haulage and integrated services,…Bulk ore haulage and integrated services, crushing and screening, open pit mining, civil and construction, and aggregate and sand supplies.",95,"Kalgoorlie, Goldfields Region, Esperance, Fitzroy…Kalgoorlie, Goldfields Region, Esperance, Fitzroy Crossing, Northern Territory",$4.75m,$3.84m,,,Yes,
Bull Motor Bodies,63,63,Andy Park(Executive Chair),1996,141,,,"Mader Contracting, BHP, FMG, Rio Tinto, Water…Mader Contracting, BHP, FMG, Rio Tinto, Water corp, Western Power, WA Police, St Johns Ambulance, DFES.",2,2,"Designer and manufacturer of specialised light…Designer and manufacturer of specialised light vehicle fleet solutions, primarily serving the mining industry and its downstream sectors, along with government agencies and emergency services.",65,Australia wide,NFP,NFP,NFP,NFP,Yes,Bull Motor Bodies Pty Ltd
Weir,55,,Bernard Brussow(Director - West),,160,,,"Fortescue Metals Group, Roy Hill Holdings,…Fortescue Metals Group, Roy Hill Holdings, Newcrest Mining, Newmont Corporation.",3,18,"Our Service centres, provide in-house engineering…Our Service centres, provide in-house engineering support, maintenance and service for the mining industry. 
The team specialise in the repair and overhaul of a range of Weir Minerals process equipment including Warman®
pumps, Cavex® hydrocyclones, Isogate® valves , Trio® crushers and HPGR as well as external pump brands. 
The Service Centre has a dedicated Linatex® rubber shop 
with specialists providing the design and servicing for Linatex® rubber lining for tanks, pipes and process equipment. The team also provides full on-site rubber lining services.
Our Service Centers are certified to Quality Assurance System ISO9001:2000, ISO14001:2004 Environmental Management and OHSEAS18001/AS4801 Safety Management System standards. The team operates using a Lean manufacturing approach.",90,"Pilbara, Kimberely, Murchison, Goldfields, Port…Pilbara, Kimberely, Murchison, Goldfields, Port Hedland , South West",,,,,,
