Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Offices interstate,Number of external WA consultants,Industries Serviced,Number of full-time WA inhouse consultants,Total staff in WA,Percentage of Business-Other,Core business,Notable clients,Percentage of Business - Consulting,Offices in WA,Fee Per Hour,Ultimate holding company,Is the organisation headquartered in WA?,Types of consulting practiced
Evolution Workplace Solutions,79,91,Michelle Butler(Director),2016,,NFP,All,NFP,NFP,,,,100%,1,,,Yes,"Workplace rehabilitation, injury management,…Workplace rehabilitation, injury management, corporate health, injury prevention."
Glide,232,156,Michael Woodhouse(Director),1999,,2,"SMEs, family businesses, NFPs",1,1,25%,"Special projects, tenders, community engagement,…Special projects, tenders, community engagement, business structure/restructure, business and marketing plans. Practical, hands-on. Also help with online presence and marketing/presentation materials.","Auscare Group, RuralWest, Act2Secure",75%,1,from $130,,Yes,"Management and marketing services for SMEs and…Management and marketing services for SMEs and NFPs including special projects, tenders, community engagement and online presence."
Encanta Event Management,143,57,Renee Bennett(Managing Director),1996,1,,Associations; Corporate; Government; NFP,4,7,5%,Managing and delivering conferences and…Managing and delivering conferences and exhibitions throughout Australia and Asia  for all industry sectors. Association Management Services with full Secretariat Support.,Australasian College of Emergency Medicine; Royal…Australasian College of Emergency Medicine; Royal Australian and New Zealand College of Radiologists;University of Western Australia; RTAA,95%,1,,EECW Pty Ltd,Yes,"Create, organise and manage world-class…Create, organise and manage world-class conferences, events, meetings and exhibitions across Australia and Asia."
Hoist,234,,Cameron McDiven(Creative Director),,,,,1,1,,,,,,,,Yes,"Design thinking, brand consulting, workshops,…Design thinking, brand consulting, workshops, marketing strategy, naming, identity, guidelines"
Belay Consulting,214,147,Maree Gooch(Managing Director),2011,,4,"SME's, Agriculture, Education, Tourism,…SME's, Agriculture, Education, Tourism, Hospitality, Local & State Government",1,2,,"Strategy and business transformation, strategic…Strategy and business transformation, strategic planning, business coaching and financial resilience.",Murdoch University; DPIRD; WAFIC; HLB Mann Judd;…Murdoch University; DPIRD; WAFIC; HLB Mann Judd; Main Roads; Peel Thunderbirds WAWFL,100%,1,POA,,Yes,"Business transformation and turnaround, strategy,…Business transformation and turnaround, strategy, financial resilience and governance, R & D tax incentive submissions."
For Blue,216,177,Andrew Outhwaite(Managing Director),2020,,1,"Marine, maritime and any ocean-related",1,2,20%,"For Blue are specialists in commercialising…For Blue are specialists in commercialising solutions and innovations for the marine industry. They generate exceptional returns for their clients through attracting funding, investment and talent to scale their technologies and businesses. They provide advice on pathways and strategies to commercialise and deliver business cases, feasibility studies, funding applications. For Blue have fifteen years experience working with manufacturers, researchers, government agencies, startups, social enterprises and industry associations. They are available, astute and aligned with their client aspirations and look forward to being of service.","City of Cockburn, City of Fremantle, Department…City of Cockburn, City of Fremantle, Department of Primary Industries and Regional Development, The Incubator Network, Scitech",80%,1,,,Yes,"Investment: business cases, feasibility studies,…Investment: business cases, feasibility studies, funding applications, investment memorandums.
Talent: leadership development, talent attraction, Leading-edge governance and operating systems.
Strategy: strategic planning, innovation facilitation, environmental sustainability, social impact, NGO partnerships."
Keogh Consulting,157,,Margit Mansfield(Chief Executive),1986,1,6,All,3,6,,"Strategy, business transformation, organisational…Strategy, business transformation, organisational development, culture, leadership development, executive coaching, assessments.","Woodside, RAC (WA), Altrad Australia, GPA…Woodside, RAC (WA), Altrad Australia, GPA Engineering, Curtin University, Murdoch University",100%,1,,,Yes,Management
John Broons Advisory,238,192,John Broons(Director),2003,,NFP,Various,NFP,NFP,,"Coaching for CEOs and family business executives,…Coaching for CEOs and family business executives, business advisory services, facilitation and succession planning services.",,,1,,,Yes,"Family businesses, succession, strategy,…Family businesses, succession, strategy, management"
MODAL,145,85,Ed Benier(Director),1993,,NFP,"Mining and resources, oil and gas, engineering,…Mining and resources, oil and gas, engineering, health, government, manufacturing, SMEs and others",NFP,NFP,,"Culture development, engagement, leadership…Culture development, engagement, leadership development, coaching, high performance teams","BHP, Alcoa, City of Bayswater, Wesfarmers,…BHP, Alcoa, City of Bayswater, Wesfarmers, Western Power",100%,1,WND,,Yes,"Leadership development, team performance, culture…Leadership development, team performance, culture, and workplace coaching."
Polymathian,197,,"Michael Dallimore(Senior Advisor, WA)",2020,1,,"Resources, rail, power generation",2,2,50%,Industrial mathematics. Software deployment of…Industrial mathematics. Software deployment of mathematical optimisation techniques to solve complex scheduling problems.,"Rio Tinto, Mineral Resources, Aurizon",50%,1,,,Yes,"Data and analytics, simulation, operations…Data and analytics, simulation, operations research"
Platinum Mix,243,102,"Becky Sangster(Owner, Principal Marketing Consultant)",2009,,10,Small to medium businesses across all sectors.,1,1,,Marketing Consultancy,"AusGroup, TEGA Industries, MATCHD, Wesco, Red…AusGroup, TEGA Industries, MATCHD, Wesco, Red Spear Safety, Irvin Bullbars, Carbide Tools.",,,$110-$180,,Yes,"Brand and marketing strategy, marketing asset…Brand and marketing strategy, marketing asset development, campaign implementation."
Mark Stone & Associates,168,99,Mark Stone(Principal Consultant),1990,,,,3,3,,"Microsoft excel specialists, financial models,…Microsoft excel specialists, financial models, management reporting, visual basic programming.","WA Health Department, Perth Energy, Synergy MG…WA Health Department, Perth Energy, Synergy MG Kailis Group, Water Corporation",,1,,,Yes,Financial systems
Norrish and Associates,240,159,Michael Norrish(Principal/Sole Director),1998,,,"Retail, commercial, manufacturing, transport,…Retail, commercial, manufacturing, transport, building and construction, health services, labour hire, earthmoving, school bus contracting, small business centres, home improvements,wet and dry hire of machinery, grader operations,rural fencing.",1,1,,Business planning ; forecasting and coaching…Business planning ; forecasting and coaching/mentoring,WND,100%,1,$200 per hour (ex GST),Norrish Pty Ltd,Yes,"Business planning; profit and loss forecasting;…Business planning; profit and loss forecasting; cash flow forecasting; coaching; mentoring, administration."
Merz Consultancy,49,59,Belinda Mead(Office Manager),2012,,NFP,"Market and regulatory advisory services, asset…Market and regulatory advisory services, asset management systems, engineering and design, project delivery",NFP,NFP,30%,"Regulators, electricity market operators,…Regulators, electricity market operators, utilities, generator performance reports, energy, renewable, transmission, substation design, protection, power system analysis, studies, power system modelling, power system planning, design & drafting.",,70%,1,,,Yes,"We specialise in power distribution, transmission…We specialise in power distribution, transmission and generation projects and are able to deliver power projects from idea inception through to commissioning. We also provide electrical engineering and other energy-related services."
RISC,77,82,Martin Wilkes(Managing Director),1994,1,NFP,Energy,NFP,30,,Energy resources and petroleum industry…Energy resources and petroleum industry consulting.,,100%,1,On application,,Yes,"Energy industry transactions advice, energy and…Energy industry transactions advice, energy and resource project investment advice, independent technical and commercial advice and due diligence, ESG issues, expert witness"
Alldale Enterprises,224,153,Paul Mackell(Proprietor),1995,,,"Contract mining, IT, communications, security,…Contract mining, IT, communications, security, plumbing, not for profit.Retail, Education, Retail,Publishing,",1,1,13%,"Installation and implementation of management…Installation and implementation of management reporting and information systems.
Business Succession and Exit Planning.","Air Drill PL, Telfar PL, Dynamic Digital Depth,…Air Drill PL, Telfar PL, Dynamic Digital Depth, Mercy Care, Chamber of Commerce, RAAFA Retirement Villages, Fremantle Housing Association, Dunbar Freight Management, Curtin Centre for Entrepreneurship, Dept of Environmental Protection, Roy Weston.",87%,1,$150 - $200,Alldale Enterprises Pty Ltd,Yes,Financial - management reporting; succession and…Financial - management reporting; succession and exit planning. In early 2017 Succession Plus selected Paul Mackell as an Accredited Advisor (Perth).
RSA Consulting,186,102,Rachel Akehurst(Chief Executive Officer),1994,1,,"Oil and gas, mining, agriculture, government,…Oil and gas, mining, agriculture, government, education, manufacturing, Finance",,,,"Consulting, leadership training, coaching",,100%,,,,,"Management, leadership, cultural transformation,…Management, leadership, cultural transformation, coaching"
Steve Cartledge Consulting,210,146,Steve Cartledge(Director),2006,,,All sectors,1,3,,"Leadership, Culture, Communication and Change…Leadership, Culture, Communication and Change Management.","BHP Rio Tinto GoldFields Water Corporation Perth…BHP Rio Tinto GoldFields Water Corporation Perth Airport Wood Worley Technip St John of God, Sodexo, City of Perth Transport Local Government, Sport & Cultural Industries DPIRD Treasury DFES Optus Stadium St John Ambulance Stockland Ngala Linear",100%,1,WND,N/A,Yes,"Leadership specialist, high performance teams,…Leadership specialist, high performance teams, senior level facilitation, executive personal coaching, 360 profiling."
Super Thinker Solutions,201,135,Daniel Kehoe(Director),1987,1,1,All sectors of commerce and industry - private…All sectors of commerce and industry - private sector and public sector.,2,2,20%,The Super-Thinker® Business Improvement Tools…The Super-Thinker® Business Improvement Tools incorporating the 7 Keys Concept™ for engaging people in continuous improvement are used to improve any aspect of organisation/business performance.,A Who's Who of Australian business and government.,80%,1,$300 per hour plus GST,BKC Pty Ltd,Yes,"Leadership, culture, people, innovation. Using…Leadership, culture, people, innovation. Using the 7 keys concept for engaging people in continuous improvement. Using the Great 5 End Results Process. Using the Leadership Attribute Performance Matrix. Developing leaders through The Leadership Plays."
Senex Consulting,200,134,Roger Daventry(Managing Director LEM FIMC CMC),1978,,2,"Project services companies, industrial…Project services companies, industrial manufacturing companies, mining companies, government and education departments, administrations. Teacher Tactile Learning methods",2,2,5%,"General management consulting, visual project…General management consulting, visual project centre control, performance improvement, OHS realisation; employing visual, interactive methods to ISO standards  Tactile learning for education","BHP-Billiton, Adani, (SKM), Water Corporation WA,…BHP-Billiton, Adani, (SKM), Water Corporation WA, WVA/ANC, Prism,  Lumitex, Education Dept WA",95%,1,Project value rated with client brief,Livingstone Pty Ltd,Yes,"Management governance and project control,…Management governance and project control, education delivery"
Red Emu Advisory,198,,"Keith Gordon(Co-Founder, Director)",2016,,,,2,2,,,,,1,,,Yes,
Lee Hecht Harrison,120,74,Lyndsay Potts(General Manager),1995,5,NFP,All,NFP,15,,"Workforce transformation, career transition,…Workforce transformation, career transition, outplacement, career development","GE, P&G, Rio Tinto, Monsanto, Toyota, Masters,…GE, P&G, Rio Tinto, Monsanto, Toyota, Masters, Woolworths",100%,1,$500,Adecco Group,Yes,"Workforce transformation, future of work, career…Workforce transformation, future of work, career transition, redeployment, career development, change management, leadership development, executive coaching"
Team Buffalo,211,148,Travis Thomas(Chief Executive Officer),2019,,,"Private sector, small business, medium business,…Private sector, small business, medium business, local government, Not for Profits",1,3,50%,,"IGO, Department of Health, Water Corporation,…IGO, Department of Health, Water Corporation, Mechwest, Curtin University,  City of Cockburn",50%,1,,,Yes,"Leadership development, people, culture, strategy."
The Pacific Institute,170,90,Tim Horgan(Managing Director),1980,,8,All industries,3,3,,"Leadership, culture and performance consultancy","St John of God Health, Synergy (WA), Dept of…St John of God Health, Synergy (WA), Dept of Communities WA, WaterNSW, Water & Power (NT), Catholic Education (TAS), Fonterra (Sing), Credit Union SA, VICT (Vic), IGA (WA)",100%,1,Varies per project and skills required.,,Yes,"Leadership, culture, change management,…Leadership, culture, change management, performance, well-being and safety."
Synergies Economic Consulting,154,118,Martin van Bueren(Director),2013,3,20,"Resources, energy, water, rail, ports,…Resources, energy, water, rail, ports, environment, agriculture and government sector (public policy)",4,4,30%,"Broad range of economic policy, economic…Broad range of economic policy, economic regulation and business advisory services.","Department of Primary Industries and Regional…Department of Primary Industries and Regional Development, WA Treasury, DevelopmentWA, Aqwest, Horizon Power, Western Power, Department of Water and Environmental Regulation",70%,1,Not for publication,,Yes,Economic and policy advisory
Sustainability,67,,,1999,1,10,"Mining, oil and gas, lenders, infrastructure &…Mining, oil and gas, lenders, infrastructure & construction.",12,26,,"- ESG Consulting & Auditing, 
- Coaching for…- ESG Consulting & Auditing, 
- Coaching for Leadership, HSE, Fatality Prevention and Contractor Risk, 
- Lender’s Consultant for environment and social (E&S) Assessments and Due Diligence / Monitoring, 
- Auditing against international standards (Cyanide Certifications & Re-certifications, ISO, Environmental Ministerial Statement, Licenses and Permits etc.)","Avetta, Glencore, Synergy, Water Corporation,…Avetta, Glencore, Synergy, Water Corporation, European Bank for Reconstruction & Development (EBRD), Oyu Tolgoi (Rio Tinto), Perth Mint, US Apparel & Textiles.",100%,1,,Sustainability Pty Ltd,Yes,"- Consultation & Advice, 
- Auditing,
-…- Consultation & Advice, 
- Auditing,
- Coaching, 
- Outsourcing,   
- Assessments, Due Diligence & Monitoring."
Pit Crew Management Consulting Services,185,,"Peter Dyball(Founder, Managing Director)",2004,,,"Resources, energy and infrastructure",NFP,NFP,,"Pit Crew Management Consulting Services Pty Ltd…Pit Crew Management Consulting Services Pty Ltd is a specialist consulting firm largely servicing clients who operate in the resources, energy and infrastructure sectors. For the past 17 years, Pit Crew has worked with some of the most significant organisations in Australia and Canada, private, industry and government, providing labour market forecasting and analysis for major projects. In short, our reports inform stakeholders which skills and occupations will be in short supply, where, when and by how many.","BHP, Woodside, Inpex, Rio Tinto, SACOME, GHD,…BHP, Woodside, Inpex, Rio Tinto, SACOME, GHD, Monadelphous, Perth Airport",,1,,,Yes,"•	Labour Market Analysis, Forecasting and…•	Labour Market Analysis, Forecasting and Modelling
•	Industry Analysis and Strategy Development
•	Business Development and Services  Marketing
•	Communication and Group Facilitation"
optaMAX,178,,Deanne McDonald(Managing Director),2006,,NFP,Infrastructure and Real Estate,NFP,NFP,25%,Project management and advisory services.,"Water Corporation, CBH, AECOM, Clough",75%,1,NFP,optaMAX Holdings Pty Ltd,Yes,Project management and advisory
Hemsley Paterson,121,,Warwick Hemsley(Chairman),2014,,,,5,9,,,,,,,,Yes,"Property valuation, property advisory"
Kingston Development Group,,,,2019,,,Property,,,,,"Frasers Property, Brookfield Properties, EG Funds…Frasers Property, Brookfield Properties, EG Funds Management",,1,,,Yes,"Development of large-scale residential, build-to…Development of large-scale residential, build-to-rent and mixed-use projects."
Cumberland Consulting Group,165,,Jon Bilson(Managing Director ),1990,,,,3,3,,,,,,,,Yes,"Management consultants and business psychologists…Management consultants and business psychologists focused on strategy, people and culture."
Encon,71,,,2017,,,,12,12,,Project management and development management,,,1,,,Yes,Building and construction consulting
Omni,,,,,,,,,,,,,,,,,Yes,
Aria Telco Management,,,Rob Heldoorn(Director),2018,,,,,,,,,,,,,Yes,
Mecone,,,,,5,,,,1,,"Urban planning, policy and development advisory…Urban planning, policy and development advisory consultancy",,,1,,,Yes,
WCA Solutions,57,,Bernard Mackin(Director),2000,,3,"Resources, Medical, Education, Not for Profits,…Resources, Medical, Education, Not for Profits, Government, Agriculture, Professional Services, Fisheries, Hospitality and many more",18,18,,"Delivery of HR and WHS services to Australian…Delivery of HR and WHS services to Australian business owners and operators to help them reduce their people risks. Supports clients to ensure their Human Resources and Workplace Health & Safety practices are compliant with Australian legislation and laws. 

Our team of Human Resources and Workplace Health & Safety experts delivering the full spectrum of Human Resources and Workplace Health & Safety services, remotely or in person at our clients' premises. Supports many small to medium business operators to deal with time-sensitive and confidential people risks and challenges.","JSW Drilling, Austral Fisheries, Vimy Resources,…JSW Drilling, Austral Fisheries, Vimy Resources, Black Brewing Co, WA Government, Tasman Oil Tools, Guardian Exercise Rehabilitation, WA Ballet, Leeuwin Estate, Linear Clinical Research, Dambimangari Aboriginal Corp.",100%,1,$100-$350,Warner Consulting Australia Pty Ltd,Yes,"Strategic HR & WHS Management; HR & WHS Risk…Strategic HR & WHS Management; HR & WHS Risk Management; HR & WHS Compliance; Recruitment; HR & WHS Systems & Processes; Organisation Design; Change Management; Performance Management; Grievance, Bullying & Harassment; Remuneration & Benefits; Employee Engagement & Culture; Training, Development & Coaching; Health & Wellbeing"
Driver Trett,149,89,"Mukul Soul(Managing Director, Asia Pacific)",2012,2,2,,4,5,,,,,1,,,Yes,"Industry specific dispute resolution, claims…Industry specific dispute resolution, claims support services, contract administration, claims preparation, front end planning works, adjudication/claims"
Indigenous Management Group,,,"Judd Harris(Managing Director, Chief Executive)",2017,,,,,,,,,,1,,,Yes,"Personal, ongoing support to new and existing…Personal, ongoing support to new and existing Aboriginal businesses with contract acquisition, strategy development, goal setting and tracking. Facilitating opportunities between Aboriginal businesses and governments, corporations and NGOs who want to engage them."
Page Advisory,,,Chris Page(Founder),2021,,,,,,,,,,,,,Yes,
Wolfe Systems,117,172,Ben Latter(Managing Director),2015,,,,NFP,NFP,,,Crazy Domains,,,,,Yes,"Business Technology Solutions, IT networks"
Fusion5,97,66,Sven Martin(Chief Executive),,9,,,8,8,,,,,1,,Fusion5,Yes,"Management consulting, project management,…Management consulting, project management, business systems consulting, technical consulting."
Airscope Industries,138,,Richard Bentley(Chief Executive),2014,2,1,"Oil & Gas, Mining, Utilities, Industrial.",4,24,85%,"Reality capture, management and visualisation.",,15%,1,250,Airscope Industries Pty Ltd,Yes,"Data strategy, reality capture, data management…Data strategy, reality capture, data management and processing."
PeopleSense by Altius,10,11,"Anya Stephens(Co-Founding Director, General Manager for Business Development)",2003,65,"1,500",All,180,200,25%,"Injury management, employee assistance programs,…Injury management, employee assistance programs, organisational development, injury prevention.","Department of Education, Department of Health,…Department of Education, Department of Health, YMCA, Department of Fire and Emergency Services.",75%,10,Variable,Altius Group,Yes,"Organisational, staff development, mental health,…Organisational, staff development, mental health, EAP programs, injury management, preventative health, WHS, disability."
McKinsey & Company,48,,"Jane Thompson(Managing Partner, Perth)",2012,4,,,NFP,NFP,,Global management consultancy firm,,100%,1,,McKinsey & Company Inc.,Yes,"Business and corporate strategy, operations…Business and corporate strategy, operations transformation, organisational design and leadership development, digital and analytics transformations, across industries in the public, private and social sectors;"
Nous Group,25,23,Craig Knox Lyttle(Principal),,8,,"Education, Health and Ageing, Human Services,…Education, Health and Ageing, Human Services, Resources, Energy, Environment, Utilities, Central Agencies, Justice and Emergency Management.",51,65,,,,100%,1,,,Yes,"Strategy, digital and design, transformation,…Strategy, digital and design, transformation, organisational performance, leadership and talent, public policy"
Sia Partners,38,28,David Prendiville(Partner),2002,,,"Natural Resources, Financial Services, Health and…Natural Resources, Financial Services, Health and Aged Care, Agribusiness, Government and Utilities and Transport and Logistics.",27,43,,"Corporate strategy, planning and facilitation,…Corporate strategy, planning and facilitation, digital transformation, performance improvement, marketing and customer experience, project and change management","BGC Contracting, Arc Infrastructure, Gold…BGC Contracting, Arc Infrastructure, Gold Corporation, St John Of God, Barminco, RAC, CBH Group, Amana Living, Tourism WA, Hawaiian, Scitech, Silver Chain, WA Super, P&N Bank, CBH Group, Wesfarmers Chemicals, Energy & Fertilisers, Woodside, The Perth Mint",100%,1,Variable,Churchill Capital Consulting,Yes,Management Consulting
HFM Asset Management,35,22,,2003,4,18,"Aged Care, Retirement Living, Commercial,…Aged Care, Retirement Living, Commercial, Critical Environments, Defence, 	Education, Government, Health, Hospitality, Industrial, Social Housing, Residential, Retail.",31,34,30%,Environmental and building services consultancy.,"Hawaiian Group, Perron Group, Westfield, Mirvac,…Hawaiian Group, Perron Group, Westfield, Mirvac, Primewest Management, Rydges, Charter Hall, Curtin University BGC, Charter Hall, Knight Frank, Jones Lang Lasalle, CBRE, Prendiville Group, Property Bank WA, Bethanie Group, Juniper Aged Care.",70%,1,Various,BGIS Pty Ltd,Yes,"Sustainability & Engineering consulting services…Sustainability & Engineering consulting services including mechanical HVAC design, electrical design, Solar PV feasibility studies, Project management, NABERS, WELL, GBCA ratings, Technical Due Diligence, Asset Management, Net Zero, WELL, GreenStar, Facility Management Advisory."
EY,7,6,"Fiona Drummond(Partner of Assurance, Managing Partner of Western Region since March 2018)",1989,6,,,236,858,,"EY is a global leader in assurance, tax,…EY is a global leader in assurance, tax, transaction and advisory/consulting services.",,,1,,,Yes,"Transformation, performance improvement, risk, IT…Transformation, performance improvement, risk, IT, cyber security, government, management."
Franchising WA,,,"Mark Fernandez(Chief Executive, Director)",,,,,,,,,,,,,,Yes,
Create Enterprises,207,178,"Carol Wallbank(Founder, Managing Consultant)",2004,,6,"Start ups, SME's, Financial Services, Renewable…Start ups, SME's, Financial Services, Renewable Energy, NFP's, Resources",1,7,70%,"Specialising in marketing, international…Specialising in marketing, international development, partnership management, stakeholder management, change management, business development, project management, media and ESG.","Gold Road Resources, Rangelands NRM, Indigenous…Gold Road Resources, Rangelands NRM, Indigenous Services Australia, Roy Hill Community Foundation, Perth Airport, PCH Foundation, Variety WA, Kennerlys, Veev Group, Murlpirrmarra Connection, Banjima Native Title, Australian Producers Consortium,",30%,1,$150-$200,,Yes,"ESG, carbon, stakeholder relations, indigenous…ESG, carbon, stakeholder relations, indigenous relations, partnerships, fundraising, business development, marketing, social media, media"
Capitalis,65,51,Stuart Gunstone(Operations Director),2003,,,"IT, telecommunications, utilities, mining…IT, telecommunications, utilities, mining services, tourism, retail, government.",NFP,NFP,75%,Strategic market research and business consulting.,"Microsoft, Google, Monday.com, Xero, Symantec,…Microsoft, Google, Monday.com, Xero, Symantec, Adobe, Fujitsu, Dropbox, ECU, Polycom, TransGrid, Hills, Donhad.",25%,1,WND,,Yes,Management
Business Station,105,,Colin Jorgensen(Chief Executive),2003,1,18,Small business,6,33,,"Four incubators with state of the art facilities,…Four incubators with state of the art facilities, Co working space, Hot desks, Seminar rooms, board rooms, End to End business advisory solutions , supporting Start up through Scale up programs, Business Accelerator programs, Community development",,,4,,,Yes,
TBH,37,32,Stephen Coogan(Director),2005,6,,"Building and construction, defence, energy,…Building and construction, defence, energy, government, heavy industry, infrastructure, ICT, mining, oil and gas.",28,28,,"Planning and scheduling, claims and dispute…Planning and scheduling, claims and dispute resolution, project controls, project, program and portfolio management, risk, value and cost management services.","Building Management and Works, Office of…Building Management and Works, Office of Strategic Projects, MRWA, UGL, FMGL, RIO, Downer EDI, Chevron, Multiplex, John Holland, CPB, McConnell Dowell, Tottle Partners, Jackson Mcdonald,  Rio Tinto, Doric, Badge Constructions WA, King & Wood Mallesons",100%,1,,,Yes,"Programming and scheduling, integrated project…Programming and scheduling, integrated project controls, cost management, project management, P3M, dispute resolution, risk management, and independent technical advisory."
Right Management Consultants,80,58,"Stacey McDougall(Service Delivery Manager for WA, SA, VIC, NZ)",1991,6,10,All sectors,10,15,,Talent and career management consultants.,WND,100%,1,Varied,Right Management part of the ManpowerGroup,Yes,Talent and Career Management Consulting.
Compu-Stor,89,36,Jeremy Manford(Chief Executive Officer),1987,4,,"Government, Legal, Healthcare, Accounting, Oil &…Government, Legal, Healthcare, Accounting, Oil & Gas, Insurance, Retail.",NFP,40,,"Complete range of records management and…Complete range of records management and consulting services:
Document Storage,
Records Management,
Off-site Media Vault,
Pick and Pack,
Destruction Services,
Digital Mailroom,
Business Process Automation,
Invoice Management,
Contract Management,
HR Document Processes,
Scan OnDemand,
Scanning Services,
Solution for Government,
Tape Transcription and Media Remastering,
Complete Information Management System (CIMS),
CIMS Essential and CIMS Online,
CIMS Online Portal,
Audits and Compliance,
Policies and Frameworks,
Corporate Strategy,
Advisory Services,
Resource Supply,
Training and Development.",WND,,1,WND,,Yes,"Information Management, Digital Transformation,…Information Management, Digital Transformation, Consulting"
Equal Group,118,93,Leon Michailidis(Group Manager),1994,9,15,"Mining, manufacturing, engineering, construction,…Mining, manufacturing, engineering, construction, transport and storage, insurance, public administration, education and training, hospitality and tourism, health and recreation, recruitment.",5,20,90%,"Recruitment, HR consulting, IT, training, audit…Recruitment, HR consulting, IT, training, audit and certification services.","Airbus, BHP, Landgate, Adecco, Hays, CBRE, and…Airbus, BHP, Landgate, Adecco, Hays, CBRE, and numerous other public & private sector organisations within Australia and overseas.",10%,4,Approx $150/hr to $300/hour,"Business units include Equal Group Enterprises,…Business units include Equal Group Enterprises, Equal Consulting, Equal Assurance, Equal Laboratories and Wise Decisions.",Yes,"Recruitment, human resources services,…Recruitment, human resources services, information technology services, audit and certification, and other management services."
Fortis Consulting,158,41,Michelle Jenkins(Chief Executive),2007,,NFP,"Academic institutions, defence, federal, state…Academic institutions, defence, federal, state and local government, NFPs, health and aged care, energy, resources, financial services, hospitality and tourism.",NFP,NFP,25%,"Management consulting with specialisations in…Management consulting with specialisations in diversity for performance, organisational development, community and stakeholder engagement and workforce development consulting.","Federal Department of Health, UWA, Community…Federal Department of Health, UWA, Community Vision, Brightwater Care Group, Curtin Uni, Department of Defence, Dementia Australia, WACOSS, several large listed companies along with local, state and federal government agencies.",75%,3,,Fortis Consulting Pty Ltd,Yes,"Fortis partners with clients to deliver…Fortis partners with clients to deliver specialist management consulting services. Fortis helps clients maximise ROI by harnessing the potential of diversity, building capability and creating an optimal culture. Working with the Aged Care and Disability Sector to help enhance cultural and business performance."
Decarbonology,132,,"Cameron Edwards(Co-Founder, Director)",2021,,5,All Australian companies,5,5,80%,"Assisting companies become Net Zero Carbon…Assisting companies become Net Zero Carbon through scientific measurement of carbon emissions, providing certifiable offsets and verifying the process.",Confidential,20%,1,Per application,N/A,Yes,"Carbon emissions, life cycle analysis, carbon…Carbon emissions, life cycle analysis, carbon emissions reduction strategies, carbon offsets, certification and verification, sustainability."
Gevers Goddard Jones,180,158,Leslie Gevers(Director),2002,,1,Government and not-for-profit organisations…Government and not-for-profit organisations involved in aged care.,2,4,50%,"Management consulting, social research,…Management consulting, social research, evaluation and training.","Department of Health and Ageing, Health…Department of Health and Ageing, Health Department of WA",50%,1,$200.00 plus GST,Gevers Goddard Jones Pty Ltd,Yes,"Primarily work with aged care service providers,…Primarily work with aged care service providers, not for profit organisations and Government in the following areas: policies and procedures development, management training, organisation reviews, evaluations, research."
Mawson Consulting,183,,"Shane Hughes(Founder, Partner)",2002,,,,2,3,,,,,,,,Yes,"Organisation Design, Workplace Culture,…Organisation Design, Workplace Culture, Leadership, Business Growth & Integration."
Innovation Unit Australia New Zealand,122,,"Keren Caple(Founder, Chief Executive)",2017,1,,"Health and social care, education and justice.",NFP,NFP,,"Bold ideas that will deliver long-term impact for…Bold ideas that will deliver long-term impact for people, address persistent inequalities and transform the systems that surround them. Create better outcomes and experiences for vulnerable people and better outcomes for the wider system.",,100%,1,,,Yes,Education and social care.
Don Hancey WA Food Ambassador Food Hospitality Export & Product Development Consulting & Commercial Kitchen Hire,209,92,Don Hancey(Director),1990,,,"Food, hospitality and tourism.",1,3,50%,"WA Food Ambassador, food, wine, tourism,…WA Food Ambassador, food, wine, tourism, hospitality, food and product consultancy, BRAND WA, and commercial kitchen hire.",,50%,1,"Varies, hourly & daily, and specific projects.",hancey trust,Yes,"Hospitality, WA Food Export, Product Development…Hospitality, WA Food Export, Product Development and Commercial Kitchen Hire."
Oliver Wyman,46,41,Robert Radley(Partner),2022,2,,"Mining and engineering services, utilities,…Mining and engineering services, utilities, telecommunications, higher education, healthcare, aged care and community services, government, financial services and industrials.",25,25,,"Strategy development and planning, organisational…Strategy development and planning, organisational design and effectiveness, performance improvement and capital productivity, transaction effectiveness and support, implementation support.",,100%,1,,MarshMcLennan,Yes,"Oliver Wyman combines deep industry knowledge…Oliver Wyman combines deep industry knowledge with specialised expertise in strategy, operations, risk management, and organisational transformation to help clients optimise their businesses in Asia Pacific."
ToBe Advisory,246,,Michael Watts(Managing Director),2019,,,All,1,1,,"Consulting and advisory services in Business…Consulting and advisory services in Business Strategy and Analysis, Environmental Social Governance (ESG), Business Transformation and Improvement.","Office Solutions IT, Intelife",100%,1,,ToBe Group,Yes,"Business Strategy and Analysis, Environmental…Business Strategy and Analysis, Environmental Social Governance (ESG), Business Transformation and Improvement."
Partners in Performance,60,,"Peter Mann(Director, Energy Transformation ANZ)",1996,,276,"Airline, banking, building and construction,…Airline, banking, building and construction, chemical, utilities, environmental, FMCG, government, manufacturing, media and entertainment, medical, metals, mining, oil and gas, port, rail, pulp and paper, retail, telecommunications.",16,18,,Management consulting,,100%,1,,,Yes,Management
One Degree Advisory,241,,Andrew Farrant(Principal),,,,,1,1,,,,,1,,,Yes,
Graham Short Consulting,,,Graham Short(Managing Partner),,,,,,1,,,,,1,,,Yes,
Cube Consulting,55,,,2000,,,Mining,20,22,,"Resource estimation,
independent review,
due…Resource estimation,
independent review,
due diligence,
mining studies,
operational support.",,100%,1,,,Yes,Geological and mine engineering.
