Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,Offices in WA,Offices interstate,Services offered,Current clients + relevant WA projects for each client,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
Kilmore Group,92,,Oran Fitzsimons(Director / Construction Manager),2017,110,1,,"Kilmore Group offers full refurbishments, new…Kilmore Group offers full refurbishments, new builds, façade installations and replacements, concrete remediation, waterproofing, heritage restoration and structural strengthening.",,NFP,Yes,
Resolve Group,153,91,Scott Roberts(Director),2011,11,1,,"Resolve Group offers the following services…Resolve Group offers the following services across a range of sectors to both public and private clients:
Private Building Certification, National Construction Code, Compliance Consultancy Services, Statutory Approval Coordination Services, Access Code Compliance Consultancy Services, Energy Efficiency Compliance Consultancy Services.",,$600.00k,Yes,
Sun City Plumbing,129,66,Michael Chester(Director),2000,35,1,,"Plumbing, civil, transport, plant hire and…Plumbing, civil, transport, plant hire and workshop services.","Remote and mining work:Atlas, Monodelphous, BBB…Remote and mining work:Atlas, Monodelphous, BBB Contracting, Pilbara Resource Group. Commercial work: Crothers Construction, Geraldton Building Services & Cabinets",$11.00m,Yes,SCP Midwest Pty Ltd
BCP Group,69,56,Kyle Jackson(Director),1997,150,3,,"Civil contractor, sand and gravel supplier, plant…Civil contractor, sand and gravel supplier, plant and equipment hire, demolition and salvage, liquid waste, traffic management.",,NFP,Yes,
TCD Group,65,50,Adam Taylor(Managing Director),1985,180,3,,"Multidisciplinary civil construction, mine…Multidisciplinary civil construction, mine dewatering and water management, SMP, E&I, multi plate tunnel construction","Fortescue, BHP, Albemarle, Water Corporation",$125.00m,Yes,
Newground Water Services,76,84,Peter Scotford(Director),2018,150,5,,"Irrigation installation and maintenance. Pump,…Irrigation installation and maintenance. Pump, bore and filtration design, installation and servicing. Golf course construction, management and maintenance.",,NFP,Yes,
Ganaji Contracting,86,,Dean Kerns(Managing Director),2023,125,2,,"Hazardous area maintenance and installations,…Hazardous area maintenance and installations, Electrical & instrumentation, High voltage, HVAC, Maintenance services, Shutdowns, Communications, Testing & Commissioning.","Woodside Energy Ltd (Karratha Gas Plant, Pluto…Woodside Energy Ltd (Karratha Gas Plant, Pluto LNG), Programmed Facility Management, Bechtel Australia Pty Ltd, UGL Engineering Pty Ltd",,Yes,
GenusPlus Group,18,17,David Riches(Managing Director),2017,700,3,5,"GenusPlus Group (ASX:GNP) is an end to end…GenusPlus Group (ASX:GNP) is an end to end service provider for essential power and telecommunications infrastructure.

Provide an integrated service delivered through key complementary businesses to our clients in the resources, power, utilities, and telecommunications sectors across Australia.

Built on a bedrock of three generations of accumulated family expertise, today the GenusPlus Group is a leading ASX-listed provider of critical infrastructure services to a blue-chip client base.","Western Power, Rio Tinto, Fortescue Metals Group,…Western Power, Rio Tinto, Fortescue Metals Group, BHP, Horizon Power, Telstra",NFP,Yes,
McConnell Dowell,82,60,,1961,135,1,5,"A major engineering, construction, building and…A major engineering, construction, building and maintenance contractor. We pride ourselves on our creative construction capability to deliver innovation and engineering excellence in the building, infrastructure and resources sectors.","PTA: Midland Station Alliance, BCI Minerals:…PTA: Midland Station Alliance, BCI Minerals: Mardie Creek Marine Works",NFP,Yes,Aveng Ltd
Pacific Industrial Company,35,28,Marco Mosole(Managing Director),1969,NFP,1,,"Steel design, fabrication and construction…Steel design, fabrication and construction services to the construction, mining, oil and gas sectors Australia wide. Supported by their Naval Base workshop facilities and large plant fleet their services include full design, engineering, procurement, fabrication, installation and commissioning.",,,Yes,
LGM Industries,102,,,2009,84,1,,"LGM specialises in SMP services across a range of…LGM specialises in SMP services across a range of sectors including resources, energy, industrial and utilities.","South 32, Newmont, Tronox, Albemarle, Yara…South 32, Newmont, Tronox, Albemarle, Yara Pilbara Nitrates, Iluka Resources, Worley Power Services",NFP,Yes,
Lendlease,75,23,"Ben Symons(General Manager, Construction)",1964,150,1,7,"E+T: Project Management, design, construction, …E+T: Project Management, design, construction,  operations and management of renewable energy projects including BESS, Solar and Wind.  
LLE: Project Management, design, construction of transport civil projects (earthworks, rail, roads, bridges and ports).
Services:  Road maintenance, operations and minor capital works","Western Power, MRWA, BHP Billiton, IBA",,Yes,Lendlease
Westforce Construction,38,,Phil Clarke(Managing Director),2006,290,,,,"Collie Battery Energy Storage Solution CBESS,…Collie Battery Energy Storage Solution CBESS, Pilgangoora P1000 Expansion, Mineral Resources Care River Bridge Crossing, FMG Solomon Pipeline Civils, Flat Rocks Wind Farm, Bellevue Gold Wind Turbines, DeGrussa Solar & Bess Decommissioning",$193.00m,Yes,
Civmec,5,7,Pat Tallon(Chief Executive),2009,"3,234",2,2,"Heaving engineering, shipbuilding, modularisation…Heaving engineering, shipbuilding, modularisation, structural mechanical and piping, electrical instrumentation and control, site civil works, precast concrete, refractory, industrial insulation, access solutions, maintenance, surface treatment and offshore logistics.",Refer to website and latest investor…Refer to website and latest investor presentations (https://www.civmec.com.au/investors/investor-presentations/),,Yes,Civmec Ltd
LGC Traffic Management,24,,,2014,600,7,,"Traffic Management 
Equipment Hire 
Traffic…Traffic Management 
Equipment Hire 
Traffic Management Planner",,NFP,Yes,
CAPE Dunstans,33,39,Greg Hutchinson(Chief Executive),1995,300,1,,"A unison of Cape Crushing and Earthmoving and…A unison of Cape Crushing and Earthmoving and Underground Services Australia, Cape is a trusted and respected West Australian company that provides innovative and cost effective solutions to businesses operating in the resources, utilities and infrastructure sectors. Areas of expertise include civil, mining services, crushing and screening and underground utility installation and maintenance. 

Cape’s diverse service offering includes: crushing and screening, ROM management, pipeline construction, fibre optic and power cable installation, surface water management, mine site services, TSF life cycle management and mining dewatering operations. 

Cape has over 30 years’ experience operating in Western Australia and is a company built on values. Cape aims to be recognised as a leader in its chosen fields that is committed to sustainable practices and the long term creation of value for their customers.","Anglo Gold Ashanti, Fortescue Metals Group,…Anglo Gold Ashanti, Fortescue Metals Group, Western Power, Rio Tinto, Newmont,",,Yes,CFC Group
Doolee,,,,2014,,,,,,,Yes,
MACA,11,4,David Greig(Group Executive Australia West),2002,"1,500",3,1,"Mining (open cut mining, drill and blast, load…Mining (open cut mining, drill and blast, load and haul), Crushing (fixed and mobile, crushing and screening, mineral processing), Infrastructure Maintenance (road and bridge works, vegetation management, parks and gardens), Civil Construction (road and bridge works, earthworks, mine airport runways), MACA Interquip (Engineering, Procurement, Construction (EPC) contracts, Structural, Mechanical, Piping (SMP) installation, equipment sales)","Main Roads WA (Kimberley Network Contract, Brand…Main Roads WA (Kimberley Network Contract, Brand Highway Rehabilitation, Bunbury Outer Ring Road, Bussell Highway Bridges), Roy Hill (ROM4 Earthworks), Rio Tinto/Worley (Western Ranges Enabling Works), Lynas Rare Earths (Earthworks), CITIC Pacific (TSF)",$165.00bn,Yes,MACA Limited
North West Mining & Civil,93,,,2014,110,3,,"North West Mining & Civil (NWMC) delivers premium…North West Mining & Civil (NWMC) delivers premium civil construction and mining services throughout Western Australia’s Pilbara region. We’re conveniently and locally placed with premises in key locations in the Pilbara including Karratha, Tom Price, and Paraburdoo, with a head office in Perth. This enables us to deliver rapid localised support as we strive to exceed needs and expectations through a holistic approach to service delivery. From safety to efficiency we prioritise every aspect of our operations to ensure the best possible outcomes.",,,Yes,
Halo Civil Engineering,73,,Peter Breen(Managing Director),2021,150,2,,"Civil Engineering
Civil Contracting
Plant &…Civil Engineering
Civil Contracting
Plant & Labour Resources
Noise Walls
Piling",,NFP,Yes,NA
Johnson Group WA,156,104,Stewart Johnson(Managing Director),1999,3,1,1,"Development Management, Project Management,…Development Management, Project Management, Superintendent Services and Contract Administration","NEXTDC, Hesperia, ISPT, Curtin University, AAIG,…NEXTDC, Hesperia, ISPT, Curtin University, AAIG, Dexus",NFP,Yes,Johnson Family Trust
KEE Group,66,,David Cox(Chief Executive Officer),2008,175,3,,"All aspects of Road Surfacing, Hire Equipment,…All aspects of Road Surfacing, Hire Equipment, Transport  and Fuel Supply.",,$184.00m,Yes,
All Metal Industries,151,109,Matthew Wimmer(Managing Director),2019,13,1,,Aluminium wholesaler and distributor.,,$17.50m,Yes,
Tracc Civil,63,52,Frank Janssen(General Manager),2011,190,1,,"Bulk earthworks, road works, contaminated site…Bulk earthworks, road works, contaminated site restoration including disposal of hazardous material, construction of retaining walls, supply and installation of all forms of utilities including: water mains, gas mains, telecommunication installations, power installations (electrical contractor), storm water drainage, sewer gravity lines, sewer pressure mains and pump stations, directional drilling","Shires, Councils, Land Developers, Water…Shires, Councils, Land Developers, Water Corporation, Main Roads, Western Power, Landcorp, Government Institutions",NFP,Yes,
Silverstone,106,,,2018,75,,,,,,Yes,
Tasman Power,52,32,Jason Pryde(Chief Executive Officer),2007,NFP,1,,"Specialises in providing electrical services in…Specialises in providing electrical services in the north west including: electrical and instrumentation installations for new projects, shutdown maintenance, upgrades to existing sites, ongoing service and maintenance support required to satisfy the needs of our clients.",,,Yes,TASMEA
Westralian Diesel,130,95,Richard York(Director),2005,35,1,1,"Cummins support bank engines, generator sales and…Cummins support bank engines, generator sales and repairs, engine overhauls, mine site labour hire",,$23.00m,Yes,
Perth Electrical and Data,145,102,Jason Bridges(Managing Director),1995,NFP,1,,"Commercial electrical installations, power…Commercial electrical installations, power installations, lighting installations, data cabling, telephone cabling, lighting supply. Medical electrical fitout, retail electrical fitout and office fit-out contractors. Commercial electrical maintenance.",,,Yes,Zebadee Nominees Pty Ltd
REGROUP,51,61,Michael Still(Managing Director),2006,220,3,1,"RE:GROUP is a full-service civil construction,…RE:GROUP is a full-service civil construction, mining services, labour resourcing and equipment hire company. Our reputation for delivering large-scale projects safely, ethically and professionally means we go the extra mile to get things done right. Your strategic partner, we have the RE:sources to RE:haul and RE:new your projects, delivering results every time.","Element 25, MRL, KMS, Greatland, SO4, Barto Gold",NFP,Yes,
CPB Contractors,14,4,"Andrew Giammo(General Manager, WA/SA/NT)",1971,NFP,2,5,"We deliver major projects across all sectors of…We deliver major projects across all sectors of the construction industry, including roads, rail, tunnelling, defence, new energy, water, health, building and resources infrastructure.","Public Transport Authority (METRONET), Rio Tinto …Public Transport Authority (METRONET), Rio Tinto (Western Range Main Infrastructure Bulk Earthworks), BHP (Port Hedland Wind Fence), BHP Nickel West (Mount Keith Debottlenecking Project), Department of Defence (RAAF Bases Curtin and Learmonth Upgrade)",NFP,,CIMIC Group Limited
UON,40,29,"Mark Keogh(Founder,  Executive Chair)",1998,285,,,"Energy solutions for remote mining and industrial…Energy solutions for remote mining and industrial operations, including renewable generation inputs. Water solutions spanning dewatering, tailings management, deep well extraction and potable water management. Equipment Hire - Power and dewatering solutions. Infrastructure construction and equipment installation. Design and manufacturing in Western Australia.",,,Yes,
Colliers,70,,"Richard Cash(Chief Executive, WA)",2022,150,3,25,,,,Yes,
OFFSITE,78,81,Norm Roberts(Executive Chairman),2011,150,1,,"Design, Manufacture, Assemble Timber Framed…Design, Manufacture, Assemble Timber Framed Buildings and Dwellings","Development WA, Dept of Communities, Dale Alcock…Development WA, Dept of Communities, Dale Alcock Projects, Stockland, Cedar Woods, Peet, Able Property, Northerly Group",NFP,Yes,
Kolbang,120,82,Zak Kirkup(Co-founder and Director),2021,58,4,,"Kolbang is the largest Aboriginal-owned & 100%…Kolbang is the largest Aboriginal-owned & 100% Aboriginal trade-workforce in Western Australia.

ELECTRICAL
Full electrical fit-out, maintenance, renovations, data communication, subdivision cabling, energy saving initiatives and more.

COMMUNICATIONS & SECURITY
NBN, Fibre, Copper and hybrid connections to homes or multi-dwelling units, automation, security systems, access control, CCTV and more.

FIRE SERVICES
Fire hose reels, hydrants, fire alarms, emergency lighting, sprinkler systems, compliance certifications and annual safety systems and more.

AIR & MECHANICAL SERVICES
Ducted and refrigerated air-conditioning systems, complex ventilation systems, central control systems, medical gas systems, dust control.",,,Yes,
Georgiou Group,25,19,John Georgiou(Chairman of the Board),1977,501,2,3,"Transport (road and bridges), land development,…Transport (road and bridges), land development, water infrastructure, building construction","Main Roads WA (Mandurah Estuary Bridge, Fitzroy…Main Roads WA (Mandurah Estuary Bridge, Fitzroy Bridge Alliance), Public Transport Authority(Midland Junction Alliance), Perth Airport (GTCP), Northrop Gruman, DevelopmentWA (Ocean Reef Marina), Water Corporation (Forward Works Alkimos Desalination Plant)",$1.30bn,Yes,Georgiou Family Pty Ltd
Boom Logistics,17,,,2000,NFP,,,"Provider of crane logistics and heavy-lifting…Provider of crane logistics and heavy-lifting solutions, servicing the resources, renewables, infrastructure, and industrials sectors",,NFP,,
Pindari WA,,,David Pidek(Managing Director),1997,,,,,,,,
PARC Engineering,19,,Daniel Debattista(Managing Director),2018,687,3,,"Construction, shutdown and maintenance services…Construction, shutdown and maintenance services in civil, mechanical and electrical disciplines.","Fortescue, Roy Hill, CPB, Covalent, Iluka, Clough…Fortescue, Roy Hill, CPB, Covalent, Iluka, Clough, Acciona",,Yes,
Alltype Engineering,55,,Kelvin Andrijich(Managing Director),1985,200,1,1,"Delivering project solutions via integrated…Delivering project solutions via integrated multidiscipline fabrication, site installation, construction and maintenance services to the oil and gas, water, power generation, infrastructure, mining, resources, utility, petrochemical and defence industries.",,NFP,Yes,WestStar Industrial Limited
MG Group WA,123,88,Carlo Menchetti(Managing Director),2007,50,1,,"Project management, civil engineering, building…Project management, civil engineering, building construction, civil, earthworks, drainage and services/utilities, car parks, landscaping, public open spaces, playgrounds, skate parks.",,NFP,Yes,Menchetti Consolidated Pty Ltd
SIMPEC,,,,2017,NFP,"6,153","2,015","Structural, Mechanical, Piping, Instrumentation,…Structural, Mechanical, Piping, Instrumentation, Electrical, Civil services across the Resources, Renewables and Infrastructure industries.","SEPD - BESS Project Wagerup, Vopak - Maintenance…SEPD - BESS Project Wagerup, Vopak - Maintenance NSW, Hitachi - South West Stations NSW,",NFP,Yes,
Corps,34,,,1985,300,4,,"Earthworks, roadworks, civil construction, sand…Earthworks, roadworks, civil construction, sand delivery and cartage, recycling of construction material.",,,Yes,
Altus Traffic,,,,2002,,6,,,,,,
Raywell Contracting,,,,1989,,,,,,,,
Creative Limestone,,,,,,,,,,,,
Australian Surface Drilling,122,,,2019,NFP,,,Drilling and Blasting Services,"Macphersons, Myhree, Mt Celia, Holcim quarries,…Macphersons, Myhree, Mt Celia, Holcim quarries, Griffin Coal, Mining Drill and Blast",NFP,Yes,
Mason Electrical Engineering Contractors,131,,,1982,34,1,,"Project Initiation and Definition, Estimating,…Project Initiation and Definition, Estimating, Design
Early Works and Manufacturing, Switchboard Builds, Automation
Construction, Mobilisation, Site Management, Safe Work Practices
Commissioning and Project Handover, Test Reports, MDR, O&M
Maintenance and Service, Re-calibration, Periodic Testing","CBH - Borden Q-Type Refurbishment, SAGE - Metro…CBH - Borden Q-Type Refurbishment, SAGE - Metro SCADA Equipment Upgrade, Multiplant - Corrigin Electrical Site Expansion",NFP,Yes,Pinnaroo Electrical Pty Ltd
The Fremantle Foundry & Engineering Company Pty Ltd,111,,,1902,67,,,"Marine Mechanical repairs, Engine repairs,Welding…Marine Mechanical repairs, Engine repairs,Welding and Fabrication","Svitzer, Westug, Pilbra Iron, Kotug, SeaReady,…Svitzer, Westug, Pilbra Iron, Kotug, SeaReady, Royal Perth Hospital",NFP,Yes,
Rocktech,,,,2006,,,,,,,,
Mader Group,9,11,"Justin Nuich(Chief Executive, Executive Director)",2005,"2,400",3,1,"Preventative Maintenance, Rapid Response Teams,…Preventative Maintenance, Rapid Response Teams, Shutdown Services, Field Maintenance Services, Rostered support, Power Generation and Marine, Professional Support, Drill Support Teams, Mader Clean Team (mobile plant), Fabrication and Line Boring Specialists, Automotive and High Voltage Electrical Specialists, Air Conditioner Maintenance, TAs, Maintenance Project Solutions, Rail & Road Transport Support, Specialised Tool Hire, Workshop Services, Training & Mentoring, Energy Equipment Support","Mader Group is a leading global provider of…Mader Group is a leading global provider of specialist technical services across multiple industries - mining, civil, energy and rail. The diversified group is supporting equipment maintenance for 335+ customers in 520+ locations worldwide.",,Yes,Mader Group Limited
High Grade Mechanical,56,45,Jennie Ironside(Owner ),2011,200,4,,HME maintenance services.,"BHP, NRW, MRL, Westgold, Thiess, Downer, MacMahons",,Yes,
Streamline Connect,91,71,"Nick Jenkins(Director, Company Secretary)",2017,120,,,Premier WA Telecommunications Infrastructure…Premier WA Telecommunications Infrastructure Business,,,Yes,
KAW Group,125,73,Jared Fitzclarence(Managing Director),1983,47,3,,"Engineering, Fabrication, Boilermaking &…Engineering, Fabrication, Boilermaking & Machining Services; Shutdown, Site Maintenance, Marine & Offshore Mobilisation Services; Welding - Aluminium, Steel, Stainless Steel, Plastic & Exotic Metals; CNC Plate Cutting & Processing: Waterjet, Plasma, Laser, Rolling, CNC Bending; Milling, Turning & CNC Machining; Pipe-line, Pressure Vessel, Structural, Fatigue, Cryogenic, DNV & ABS Coded Welding; Sub-sea Equipment, Marine Structures, Mining Equipment, Structural Steel; Component Manufacturing; 3D Laser Scanning, Point Cloud Manipulation, Design Engineering, FEA Modelling & Drafting; Weld Management & QA, Certified Weld Inspection, Writing Weld Procedures, Qualification of Welders; Engineering Labour & Plant & Equipment Hire","Downer EDi Works + Karratha City Centre Upgrade,…Downer EDi Works + Karratha City Centre Upgrade, Woodside + KGP & Pluto Ongoing Operations Works, Westlink Logistics + Plant Imports for Cape Lambert Phase B Expansion, Downer Engineering + Pluto Maintenance Works, BHP Petroleum Division + Platform Maint",$22.60m,Yes,KAW Engineering Pty Ltd
Panther Protective Coatings,,,,1999,,,,,,,,
Murray Engineering,30,31,Mark Coughlan(Chief Executive Officer),2006,388,2,2,"Underground electrical starter panels,…Underground electrical starter panels, distribution boards, MCC's and skid-based substations, trailing cable repair and supply, surface and underground electrical installations, vertical cable installations, mechanical and electrical engineering, HV cable terminations, underground machine retrieval services, underground machine rebuilds and repairs, mine-spec light vehicles, hydromining and solids dredging, pump audits and testing, pump overhaul and repair, motorisation and skid packaging, pump rental and aftermarket services, stainless steel fabrication for water and wastewater applications, automation & control systems including TeleOp and RRC, underground machine hire/sales, underground safety products, service exchange components and spare parts, component refurbishment and testing, site maintenance and repair contracts, blast and spray painting, custom fabrication and repair, sheet metal services, structural steel, modular structures, and skid-based equipment.",,NFP,Yes,
Multiplant Holdings,59,45,Nader El Sayed(Managing Director),2009,NFP,2,,"Bulk and detailed earthworks
Foundation…Bulk and detailed earthworks
Foundation preparation
Roads and carparks (sealed and unsealed)
Road construction, maintenance and dust suppression
Sealing and line marking
Road furniture and signage
Land development & subdivisions
In-ground services
Rehabilitation and remediation
Load and haul
Mobile crushing and screening
Dewatering; poly welding, pipe and valve installation
Airstrip construction and refurbishment
Tailings dams and evaporative ponds
Pipelines (overland & underground)
Culverts and drainage
Run-off mine pads
Temporary fencing & barricading
Waste and potable water treatment
Borrow pit and quarry management
Non process infrastructure earthworks
Accommodation camps & site facilities
Wet and dry hire services
Rail formations
Rail infrastructure maintenance
Concrete remediation work
Engineering and Design
Structural, mechanical, piping
Shutdowns / Surface / Underground / turnarounds
Sustaining capital works
Access solutions
Facilities maintenance
Insulation and services
Flange management
Pump maintenance
Mine maintenance
Paste and tailing backfill
Shutdown support teams – management and labour
Underground Grouting and install
Underground Rising Main Supports
Underground Ladder Ways Installation
Underground ventilation systems
Underground equipment and tooling
Underground Dewatering
Pump Stations","Rio Tinto, Roy Hill, Mineral Resources, BHP, CBH…Rio Tinto, Roy Hill, Mineral Resources, BHP, CBH Group",NFP,Yes,
NRW Holdings,1,5,"Jules Pemberton(Chief Executive, Managing Director)",1994,"4,898",9,4,"NRW is a leading provider of diversified contract…NRW is a leading provider of diversified contract services to the resources and infrastructure sectors in Australia. With extensive operations in all Australian States except Tasmania and an office in Canada, NRW’s geographical diversification is complemented by its ability to deliver a wide range of services. These encompass civil construction including bulk earthworks, road and rail construction and concrete installation, together with contract mining and drill and blast services through NRW Civil & Mining, Golding Contractors and Action Drill & Blast. NRW also offers a comprehensive OEM capability through Action Mining Services providing refurbishment and rebuild services for earthmoving equipment and machinery. NRW’s MET Division comprising RCR Mining Technologies, DIAB Engineering and Primero offers tailored mine to market solution, specialist maintenance (shutdown services and onsite maintenance), Non- Process Infrastructure, innovative materials handling capability and complete turnkey design, construct & operation of minerals processing and energy projects. NRW has a workforce of around 8,000 people supporting more than one hundred projects around Australia for clients across the resources, infrastructure, industrial engineering, maintenance and urban subdivision sectors.","KCGM Growth Project (Northern Star Resources),…KCGM Growth Project (Northern Star Resources), Karara Mining (Karara), Bunbury Outer Ring Road (Main Roads via alliance),  Jimblebar (BHP), Mungari (Evolution mining), West Angelas A West (Rio), Mt Weld Expansion (Lynas), Fortescue",$2.90bn,Yes,NRW Holdings Ltd
SSH Group,43,14,Daniel Cowley-Cooper(Managing Director),2021,250,2,,"SSH Group Ltd has a portfolio of businesses…SSH Group Ltd has a portfolio of businesses servicing Australia's Mining, Civil, and Construction Industries.",,,Yes,
Autoscreens Automotive Glass,,,,2010,,,,,,,,
A2Z Plumbing Gas And Hotwater,,,,,,,,,,,,
Epoxy Flooring Perth,,,,,,,,,,,,
Ertech,22,27,"James Giumelli(Chief Executive Officer Ertech, Chairman Ertech, Managing Director Ertech Holdings )",1981,650,2,1,"Ertech is an engineering construction contractor…Ertech is an engineering construction contractor delivering complex, multi-disciplined projects for the resources, defence, transport, utilities, and community infrastructure sectors. Deep engineering expertise, robust systems, and skilled, self-performing civil and electrical teams drive our value-driven solutions and consistent performance.",NFP,NFP,Yes,Ertech Holdings Pty Ltd
Primero,13,14,Michael Gollschewski(Managing Director),2011,NFP,3,1,"A leading multidisciplinary engineering,…A leading multidisciplinary engineering, procurement, and construction company specialising in delivering comprehensive, fully integrated solutions to the mining, energy and resource sectors. From feasibility studies and early-stage design to construction, operations and ongoing maintenance and sustaining capital services, our expertise spans the entire project lifecycle. By leveraging our extensive industry knowledge and resources, we provide tailored solutions that meet the unique challenges of our clients, ensuring success from concept through to operations.","Northern Star Resource, Fortescue, Rio Tinto",,Yes,NRW Holdings
Monadelphous,3,1,Rob Velletri(Executive Chair),1972,"4,462",9,10,"Monadelphous is an ASX 200 engineering group,…Monadelphous is an ASX 200 engineering group, providing construction,
maintenance and industrial services to the resources, energy and infrastructure sectors.","BHP, Rio Tinto, Fortescue, Shell, Woodside, INPEX…BHP, Rio Tinto, Fortescue, Shell, Woodside, INPEX, South 32, Synergy",,Yes,Monadelphous Group Ltd
SRG Global,10,9,David Macgeorge(Managing Director),1961,"2,100",9,19,Diversified infrastructure services including…Diversified infrastructure services including engineering-led specialist Maintenance and Industrial Services and Engineering and Construction,"BHP, Rio Tinto, Fortescue, Roy Hill, Albemarle,…BHP, Rio Tinto, Fortescue, Roy Hill, Albemarle, Talison Lithium, South32, Alcoa, Evolution Mining, Northern Star, Genesis Minerals, KCGM, Tronox, Yara, Iluka, Chevron, Woodside, Main Roads WA, PTA, Multiplex, Built, Water Corporation, Fremantle Ports",$585.00m,Yes,SRG Global Limited (ASX: SRG)
Pacific Energy,20,,"James Cullen(Chief Executive, Managing Director)",1981,680,4,3,"End-to-end power generation solutions for mining,…End-to-end power generation solutions for mining, utilities and regional townships;
Build Own Operate power systems (renewable, traditional and hybrid);
Stand-alone Power Systems;
Battery Energy Storage Systems (BESS);
Wind, solar and green hydrogen technologies;
Hydroelectricity.","AnglogoldAshanti (116MW hybrid power facility);…AnglogoldAshanti (116MW hybrid power facility); Horizon Power (Denham Hydrogen Demonstration Plant, Esperance Power Station & Renewables Hub, Mid West Remote Power Systems); Western Power (Standalone Power Systems); Westgold (Power Stations); Gold Fields",NFP,Yes,Pacific Energy Group Holdings Ltd
Duratec,23,,"Chris Oates(Executive Director, Managing Director since 2023)",2010,641,10,15,"Engineering, remediation and construction.",,NFP,Yes,
Linkforce,8,8,"Luke Herbert(Founder, Managing Director)",2007,NFP,1,1,"Shutdown maintenance services, integrated…Shutdown maintenance services, integrated maintenance, engineering and project delivery, mechanical, fabrication, electrical, scaffolding, rope access, crushing, precision maintenance, HDPE, communications, transport and construction services.",,$523.23m,Yes,
Buru Rehab,99,,George Todd(Director),2022,85,,,,,,Yes,
Ventia,2,2,"Dean Banks(Chief Executive Officer, Managing Director)",2015,"4,500",3,200,"Asset closure, asset management, capital works,…Asset closure, asset management, capital works, environmental services, facilities management, defence, network design, architecture and engineering, operations and maintenance, technology and automation; telecommunications, edge data centre digital infrastructure.","Department of Defence (Garden Island, WA); Main…Department of Defence (Garden Island, WA); Main Roads Western Australia (VentureSmart JV); Department of Corrective Services; Rig & Well Services (drilling, well servicing and camp management to WA mining, oil and gas clients); Chevron; BHP; Inpex; SKAO",,Yes,Ventia Services Group Limited
Warrikal,12,13,Amanda Healy(Chief Executive),2017,"1,500",3,,"A multidisciplined service provider focusing on…A multidisciplined service provider focusing on shutdowns, maintenance, and sustaining capital projects. Capabilities include mechanical, electrical, scaffolding, rope access, civil, SMP, water and NPI.","BHP, Fortescue Metals Group, Rio Tinto, Pilbara…BHP, Fortescue Metals Group, Rio Tinto, Pilbara Minerals, Roy Hill",NFP,Yes,
Altrad,7,10,"Neil Sadler(Chief Executive, Asia Pacific)",1985,"3,000",3,4,"Shutdown & Turnaround planning, Fabrication,…Shutdown & Turnaround planning, Fabrication, Structural, Mechanical, Piping, Electrical, Instrumentation & Communication, Scaffold Design & Engineering, Scaffolding, Rope access, Painting & Fireproofing, Insulation & Cladding, Rotating Equipment, Earthworks & roadworks, Underground services, Concrete, Non Destructive Testing (NDT) & Pressure Testing, Pressure Gauge calibration, Commissioning
& Operation, Registered Training Organization (RTO), Wind turbine inspection & repairs, Subsea cable & pipe lay solutions (CPLS), Cranes & lifting maintenance services.","Chevron Australia - Gorgon, Wheatstone & offshore…Chevron Australia - Gorgon, Wheatstone & offshore assets, Woodside Energy - Karratha Gas Plant, H2  Perth, Inpex - Ichthys, BHP WAIO - All sites, Rio Tinto - All Sites, Tronox - All Sites, CBH - Geraldton Silo Remediation, South 32 - Maintenance services",NFP,Yes,Altrad Group
Multiplex,31,31,Chris Palandri(Regional Managing Director),1962,NFP,1,4,"Project management, design development,…Project management, design development, procurement, manufacture, construction, installation and commissioning of multi-disciplinary projects.","Edith Cowan University, Brookfield Properties,…Edith Cowan University, Brookfield Properties, Ramsay Health, St John of God, State Government of WA of God Health Care, Western Australian Government, NEXTDC.",,,
Southern Cross Electrical Engineering,16,15,"Graeme Dunn(Group Chief Executive, Managing Director)",1978,NFP,3,13,"Electrical, instrumentation, communications,…Electrical, instrumentation, communications, security, fire and maintenance services in the infrastructure, resources and commercial sectors.","Synergy Collie BESS, BHP, Rio Tinto, Coles,…Synergy Collie BESS, BHP, Rio Tinto, Coles, Woolworths, public infrastructure maintenance and services",NFP,Yes,Southern Cross Electrical Engineering Limited
Add Business Group,112,,Dave Edwards(Executive Chair),2012,65,1,,"Construction & Maintenance, Waste Water Treatment…Construction & Maintenance, Waste Water Treatment, Landscaping & Irrigation",,,Yes,
Ironstone Australia,142,,Richard Tester(Managing Director),2022,20,,,"Construction, general civils, project management,…Construction, general civils, project management, electrical contractor, battery/BESS/PV/electrical systems contractor","Christmas Creek Fuel Facility, Christmas Creek…Christmas Creek Fuel Facility, Christmas Creek Microgrid/BESS, Building Construction/Install",,Yes,
Qetra,61,57,Brian Zlnay(Managing Director),2020,200,1,,"Fabrication, management, construction, inspection…Fabrication, management, construction, inspection and commissioning.",,$50.00m,Yes,
Grounded Construction Group,72,73,"Paul Natoli(Founder, Managing Director)",2013,150,2,,"Project management for mining villages and civil…Project management for mining villages and civil projects. Pre-Tender feasibility design and documentation. Civil services including clearing, grubbing, roads, trenching, backfilling, storm water, drainage, pad prep and concreting. Construction and modular building installation. Refurbishment and relocation.",,,Yes,
