Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,Number of engineers in WA,Offices in WA,Offices interstate,Current projects (top 5 only),Services offered,WA Revenue previous financial year,WA Revenue most recent financial year,Location of Head Office,Is the organisation headquartered in WA?,Ultimate holding company
Rapallo,105,73,Victor Simbile(General Manager Technical Services (MIEAust; CPEng)),1987,30,15,2,,"For projects would say various for various…For projects would say various for various clients – BHP, FMG, Northern Star, Karora, Western Areas, Water Corporation, EDL,","Mining, mechanical, electrical, civil, structural…Mining, mechanical, electrical, civil, structural, integrity engineering and environmental consulting/contracting.  3rd Party inspection and Non Destructive Testing (NDT) services - NATA Accredited. Classified Plant Management Training services.  Professional recruitment and contract labour hire.",NFP,NFP,Midvale,Yes,
MRX Technologies ~ A Siemens Company,32,28,Martin Baier(Head of MRX ),1996,150,100,1,,"Track inspection and monitoring systems, vehicle…Track inspection and monitoring systems, vehicle inspection and monitoring systems, train passenger information systems, train location systems, mine bench level monitoring systems.","Engineering services for the rail, mining and…Engineering services for the rail, mining and mineral exploration industries.",,,Belmont,Yes,Siemens Ltd
Orbital Corporation,69,55,"Todd Alder(Managing Director, Chief Executive)",1973,68,NFP,1,,"Purpose Built Propulsion Systems for Insitu Inc,…Purpose Built Propulsion Systems for Insitu Inc, a subsidiary of The Boeing Company; Two engine development programs for Textron Systems; Engine development program for a major Singapore defence company.","Design engineering services, advanced fuels and…Design engineering services, advanced fuels and engineering, embedded control and EMS, testing and emissions solutions, FlexDi - flexible direct injection, technical training and publications, standards and procedures.",$31.20m,$15.70m,"Balcatta, Western Australia",Yes,Orbital Corporation Limited
Hatch,14,21,,1987,225,200,1,5,"Key clients: Chevron Australia, Rio Tinto, BHP…Key clients: Chevron Australia, Rio Tinto, BHP Billiton, South32, Cameco and Tronox.","With over six decades of business and technical…With over six decades of business and technical experience in the mining, energy, and infrastructure sectors, Hatch responds quickly with engineering solutions that are smarter, more efficient and innovative. Hatch draws upon its 9000 staff with experience in over 150 countries to challenge the status quo and create positive change for its clients, employees and the communities.",,,"Toronto, Canada",,Hatch Ltd
Arup,17,17,"Kate West(Principal, WA Advisory, Planning & Design Lead, Regional Board Member, Co-Chair of Australasia Region since April 2021)",1969,220,190,1,11,"Morley to Ellenbrook Rail Line, Scarbourgh…Morley to Ellenbrook Rail Line, Scarbourgh Foreshore Redevelopment, Optus Stadium, Perth Airport T1 Domestic and T1 Forecourt, Great Northern Highway, Capital Square, Elizabeth Quay","Arup is a global consulting firm, with more than…Arup is a global consulting firm, with more than 16,000 staff working across more than 140 countries, providing expertise across the full lifecycle of the infrastructure sector and built environment. Independently structured, and owned in trust by all Arup employees, our vision is to Shape a Better World, by aligning our multidisciplinary skills to tackle current and future challenges.

Arup’s operations in Australia commenced in 1963, and there are now 2,500 staff across the country working on some of the most complex infrastructure challenges and planning frameworks across both the government and private sector.

Arup is deeply connected into Western Australia, having operated in Perth since 1969. With over 220 permanent staff, we have shaped infrastructure across the state, working across all major sectors including transport, water, energy, health, environment, property, digital, logistics, cities and regional development.",,,London,Yes,Arup Group Ltd
HFM Asset Management,76,69,,2003,34,26,1,4,"Primewest SC Solar Projects, Capital Works…Primewest SC Solar Projects, Capital Works planning WA Government Stadiums","Sustainability & Engineering consulting services…Sustainability & Engineering consulting services including mechanical HVAC design, electrical design, Solar PV feasibility studies, Project management, NABERS, WELL, GBCA ratings, Technical Due Diligence, Asset Management, Net Zero, WELL, GreenStar, Facility Management Advisory.",NFP,NFP,15-17 William St Perth WA 6000,Yes,BGIS Pty Ltd
FLSmidth,70,57,"Tamer Eid(President, APAC Mining)",,NFP,NFP,,,,"End-to-end design, fabrication, procurement,…End-to-end design, fabrication, procurement, construction, commissioning, service and after sales of mining machinery.",,,Perth,,
Atteris,75,62,,1999,30,28,1,1,Multiple small and medium size projects,Subsea and Pipeline Engineering Consultancy,,,Perth,Yes,Atteris Pty Ltd
ACCIONA,31,66,"Grant Smillie(Regional General Manager, WA)",2011,418,100,5,4,"OMTID/MRWA- Bunbury Outer Ring Road, OMTID/PTA –…OMTID/MRWA- Bunbury Outer Ring Road, OMTID/PTA – Bayswater Station and Turnback, Kwinana Waste to Energy, East Rockingham Waste to Energy, OMTID/MRWA - Stephenson Avenue Stage #2, OMTID/PTA – Victoria Park-Canning Level Crossing Removal Project",,,,"Belmont, WA",,
Schlam,116,,Matt Thomas(Chief Executive),1996,430,10,5,,Tier 1 contracts with leading WAIO miners,"Engineering and mining services, plant…Engineering and mining services, plant maintenance, shut down services, specialised design and fabrication, plant refurbishment, asset management, mobile equipment manufacture.",NFP,NFP,"404 Orronng Road, Welshpool, WA 6101",Yes,
Structerre Consulting Engineers,53,43,John Gelavis(Chief Executive),1980,150,50,5,5,,"Structural Design (single, two-storey, luxury and…Structural Design (single, two-storey, luxury and Class 2), Civil, Geotechnical Engineering, Site Services, Energy Assessment, Certificate of Design & Building Compliance (CDC's), Bush Fire Attack Level Assessments (BAL's), Land Surveying, Retrospective Inspections, Pre and post construction inspections, Engineering Consulting.",,,"Balcatta, WA",Yes,Zemla Pty Ltd
Duratec,,,"Chris Oates(Executive Director, Managing Director since 2023)",2010,741,36,10,15,,,NFP,,,Yes,
Wormall Civil,109,95,Shane Wormall(Managing Director),1984,430,12,3,,"Peel Business Park – DevelopmentWA, Rivermark…Peel Business Park – DevelopmentWA, Rivermark/Midland Brick Redevelopment – Hesperia; Witchcliffe Ecovillage – Sustainable Settlements/Perron Group; he Hales; Seaside Madora – Satterley; Henley Brook - Mirvac","Earthworks, roadworks, retaining walls, drainage,…Earthworks, roadworks, retaining walls, drainage, sewer, pump stations, water/gas reticulation and electrical/communications installation",NFP,NFP,"17 Cardup Siding Road, Cardup 6122 Westen…17 Cardup Siding Road, Cardup 6122 Westen Australia",Yes,Wormall Civil Pty. Ltd.
Control and Thermal Engineering,,,"Scott Doig(Director, General Manager)",1986,,,1,,,,,,"12 Ballantyne Road, Kewdale WA 6105",Yes,
Fortin Pipelines,,,"JP Fortin(Founder, Managing Director)",,,,1,,,,,,"Suite 6, 1200 Hay Street, West Perth WA 6005",Yes,
Delonix Solutions,,,"Philippe Vatin(Founder, Managing Director)",2011,90,,2,,"Northern Star KCGM, Iluka Eneabba Rare Earth…Northern Star KCGM, Iluka Eneabba Rare Earth Refinery Project, Robex Kineiro Gold","Brownfield and greenfield mineral processing…Brownfield and greenfield mineral processing plant design, structural engineering, piping design, mechanical engineering, civil engineering, surveying, laser scanning, design and fabrication drawing.",,,"Level 1, 45 Royal Street, East Perth WA 6004",Yes,
BMT,95,83,"Karim Ghaly(Team Leader for Coastal & Maritime WA, Senior Principal Engineer)",1994,59,19,1,7,,"Port, maritime, dredging, water and environmental…Port, maritime, dredging, water and environmental engineering services.",,,Brisbane,,BMT Group
CPC Engineering,28,21,Glen Weir(Chief Executive),1970,350,110,7,,"Mineral Processing Plants: design, construction…Mineral Processing Plants: design, construction and maintenance","Engineering design, procurement, fabrication,…Engineering design, procurement, fabrication, construction and asset management, both surface and underground.",NFP,NFP,West Perth,Yes,
Red Rock Engineering WA,,,Ian Abbot(Executive Director),2019,,,1,,,,,,"204 Woodbrook Road, Karratha WA 6714",Yes,
Clough,13,14,Peter Bennett(Chief Executive Officer),1919,600,200,1,3,"Snowy 2.0, Perdaman Ceres Urea Plant, Darwin Ship…Snowy 2.0, Perdaman Ceres Urea Plant, Darwin Ship Lift,  Waitsia Gas Project Stage 2, Woodman Point water treatment plant","WE ARE A PIONEERING PROJECT DELIVERY COMPANY
We…WE ARE A PIONEERING PROJECT DELIVERY COMPANY
We harness innovative engineering and construction solutions to improve peoples’ lives today and tomorrow.

We deliver high performing assets for the energy, resources and infrastructure industries, underpinned by a dedication to innovation, sustainability and getting the job done safely and efficiently. 

Our workforce of over 3,000 people across Australia and Asia Pacific is committed to delivering exceptional projects for our industries and communities, as a partner for a sustainable future.

Following the acquisition by global construction leader Webuild in 2023, Clough Group became the Australian subsidiary of Webuild Group.",,,Perth,Yes,Webuild
PAEMAC,,,,2018,,,1,,,,,,"Level 3, 8 Colin Street, West Perth WA 6005",Yes,
Downer EDI,61,51,"Peter Tompkins(Managing Director, Chief Executive Officer)",1968,NFP,40,10,40,"South Flank, Wheatstone, Ichthys,","Engineering, construction and maintenance…Engineering, construction and maintenance services providers in the core markets of minerals and metals, oil and gas, power, transport infrastructure, water, communications, social infrastructure and property.",,,NSW,Yes,Downer EDI Limited
Technip Energies,26,19,Gareth Philp(Managing Director - Australia),1995,297,NFP,1,1,"Shell Prelude FLNG, Engie Yuri Green Hydrogen,…Shell Prelude FLNG, Engie Yuri Green Hydrogen, Woodside Pluto Water Handling Module, BP Kwinana Hydrogen Generation Unit","Design, construction and industrial solutions in…Design, construction and industrial solutions in LNG, hydrogen, sustainable chemistry, biofuels, CO2 management/decarbonization.",NFP,NFP,"Paris, France",Yes,Technip Energies N.V.
KBR,38,32,,1958,200,80,1,6,"Defence Infrastructure (various), Main Roads WA…Defence Infrastructure (various), Main Roads WA engineering services, Rail Projects (various), Nolans Rare Earth Project","Deliver science, technology and engineering…Deliver science, technology and engineering solutions to governments and companies around the world.",$100.00m,$100.00m,"Houston, USA",,KBR Inc
TechnipFMC,58,24,"Brett Howard(Director of Subsea Projects & Operations, Country Head Australia)",1995,246,NFP,2,,"Santos Barossa SPS, Woodside Griffin…Santos Barossa SPS, Woodside Griffin Decommissioning, Woodside NWS Infill, Shell Crux Surf","Engineering, technology, construction and project…Engineering, technology, construction and project management for subsea and services in the oil and gas industry.",,,"Houston, United States of America",,TechnipFMC plc
Prompt Engineering,68,62,"Michael Young(Founder, Director)",,42,35,1,1,,"Geotechnical: Soil Testing & Analysis, Site…Geotechnical: Soil Testing & Analysis, Site Inspections (classification & footing), Compaction testing, Earthwork Certifications & Compliances, Geotechnical Assessments. 
Residential: Foundation Design, Lightweight Construction, Roof/ Wall Framing Analysis, Concrete/ Brick Swimming Pool design, Patio, shed, carport, gazebo design, Upper story extensions, Stormwater design, Modular design, Cyclonic design, Structural Inspections, Dilipidation Reports, Retaining Wall Inspections and Details , Bushfire Attack Level reports (BAL)
Commercial: Industrial Shed & Warehouse design  Modular Construction, Foundation design, Cyclonic design, Subdivision design, Commercial Infrastructure, Hydraulic and Fire services design, Project Management.
Energy and Resources: Camps, Operational Facilities, Equipment Foundation and support Corrosion Inspetions",,,Wangara,Yes,
Advanteering - Civil Engineers,92,95,Dan Cunningham(Managing Director),1980,30,20,2,,1. Dayton Open Space; 2. New Station Street…1. Dayton Open Space; 2. New Station Street Bridge-Gosnells; 3. Construct 3No. Northam Bridge Replacements; 4. New Yoting Bridge and Road; 5. Hotham St Bridge Upgrade.,"Advanteering offers a civil and marine…Advanteering offers a civil and marine infrastructure design and construction contracting service which operates in accordance with an integrated quality, environmental, safety and traffic (QEST) management system certified as accredited to current International Standards by SAI Global.",$21.60m,$32.50m,"590 Newcastle Street, West Perth, WA, 6005",Yes,D.B.Cunningham Pty. Ltd.
Sedgman,7,43,"Steve van Barneveld(Executive General Manager, APAC)",2001,230,,1,3,,"As leaders in mineral processing, Sedgman…As leaders in mineral processing, Sedgman provides innovative solutions for the full project life cycle from feasibility studies, design, procure, and build through to solutions, design, procurement, execution, construction and commissioning, operations management, operational readiness, and maintenance services. 

It is also involved in integrated mineral processing and handling facilities across a range of commodities including precious and base metals, bulk commodities such as coal and iron ore, industrial minerals.",,,Brisbane,,CIMIC Group
Powertech,110,93,Paul Carmignani(Managing Director),1998,122,12,1,4,,"Powertech Services: Specialist high voltage and…Powertech Services: Specialist high voltage and low voltage 
asset testing and commissioning services in project or 
maintenance environments.
* HV Relay Protection Testing
* CT Testing and VT Testing
* Circuit Breaker Testing
* Transformer Testing
* Transformer Filtration/Oil Sampling
* Rotating Machines Testing
* Protection Scheme Testing
* Power Utility Communication (IEC 61850)
* High Voltage Cable Testing
* Switchboard Testing
* Earth Grid Testing
* Thermographic Survey
* Power Generation Commissioning
* Power Management System Commissioning
* E-house Commissioning & Testing
* Partial Discharge Testing
* Substation Commissioning & Testing
* Switchyard Commissioning & Testing
* Condition Monitoring
* Asset Management
* HV Auditing
* HV Competency Training
Powertech Operations and Maintenance: High Voltage and electrical/instrumentation asset management solutions.
* HV Asset Management 
* HV Asset Maintenance 
* HV Asset Operations 
* HV Asset Reliability Engineering 
* HV Asset Root Cause Analysis 
* HV Auditing/Inspections 
* E&I Asset Management 
* E&I Asset Maintenance 
* E&I Asset Operations 
* E&I Asset Reliability Engineering 
* E&I Asset Root Cause Analysis 
* Gas Pipeline Maintenance 
* Shutdown Campaigns
Powertech Engineering: Electrical engineering solutions through power systems studies, design, analysis and consulting. Powertech Engineering Services can offer the following services:
* Protection Coordination Studies 
* Load Flow Analysis Studies 
* Short Circuit Analysis Studies 
* Harmonic Analysis Studies 
* Motor Starting Analysis Studies 
* Transient Stability and Fault Recovery Studies 
* Arc Flash Studies * Earthing Design Analysis Studies 
* Economic Feasibility Studies 
* Technical Feasibility Studies 
* FEED and Detailed Engineering Design 
* Protection and Metering Scheme Design and Upgrades 
* Relay Configuration and Settings 
* Commissioning and Test Plan development 
* QA/QC documentation 
* Asset Reliability Engineering 
* Consulting Services * Scope of Work and Project Framing 
* Regulatory Standards Review and Advice 
* Drafting Services

Seamless Resourcing: Multi-disciplined commissioning, shutdown and maintenance services resourcing: 
* Multi-Disciplined Commissioning Teams 
* Completions Specialists 
* Shutdown Campaigns 
* Commissioning Management Systems 
* Hazardous Area Inspections 
* Hazardous Area Auditing
Precise Calibrations: Calibration and testing of equipment and instruments. Precise Calibration has calibration laboratories in Perth and Brisbane offering traceable calibrations to Australian National Standards. All calibration reports are issued in compliance with ISO/IEC 17025. Precise Calibration also offers a range of on-site calibration, repair, and safety testing services to complement our fixed lab services. Our service covers the following fields: 
* Electrical Test and Measurement Equipment - LV and HV
* Temperature - Direct and Infrared 
* Pressure Calibrations – Pneumatic and Hydraulic 
* Dimensional Calibrations 
* HV PPE Testing 
* Torque Wrench/Torque Multiplier Calibration 
* Mobile Calibration Facilities
Precise Equipment: Hire, sales and complete equipment asset management solutions. From a single asset, single day hire to complete customised project packages including 24-hour on site manned equipment facilities, equipment management and maintenance services, and long-term supply/maintenance contracts. Precise Equipment has the expertise, experience and equipment to help in the following areas: 
* Electrical 
* Instrumentation 
* Environmental 
* General industrial 
* Mechanical 
* Safety equipment",$35.00m,$35.00m,14 Energy St Malaga WA 6090,Yes,Powertech Pty Ltd
Sedgman Onyx,8,,,2007,NFP,NFP,1,,,"Project execution, shutdown planning and…Project execution, shutdown planning and management, critical incident support, consultancy, plant operations support, specialist materials handling services.",,,Brisbane,Yes,CIMIC Group
Tetra Tech Proteus,71,41,"Stewart Phillis(General Manager, Engineering)",1986,NFP,NFP,1,3,"Cobalt Blue Detailed Engineering, Exmouth Power…Cobalt Blue Detailed Engineering, Exmouth Power Station, Newmont Residue Disposal Area, Darwin NT Strategic Fuel Store, Balasausqandig Feasibility Study","Consulting engineering and project management…Consulting engineering and project management services encompassing studies, design, procurement, construction management.  Also offer Geotechnical, Environmental, Ecology and Heritage consulting.",,,Perth,Yes,Tetra Tech Inc.
Peritas,,,Christian Stanes(Managing Director),2008,,,1,2,,,,,Burswood,Yes,
ECG Engineering,52,54,"Geoff Bailey(Principal Consultant, Director)",2014,86,51,1,1,,"Project management, power generation, power…Project management, power generation, power systems, control systems, plant integrity, operations support, automation systems",NFP,NFP,"Welshpool, Western Australia",Yes,
KAW Group,148,,Jared Fitzclarence(Managing Director),1983,47,4,1,,,"Mechanical engineering, structural engineering,…Mechanical engineering, structural engineering, structural & mechanical drafting, 3D laser scanning, FEA analysis, 3D point cloud manipulation",$17.20m,$22.60m,Karratha,Yes,KAW Engineering Pty Ltd
SRG Global,47,57,David Macgeorge(Managing Director),1961,"2,100",60,9,19,"BHP, Rio Tinto, Fortescue, Roy Hill, Albemarle,…BHP, Rio Tinto, Fortescue, Roy Hill, Albemarle, Talison Lithium, South32, Alcoa, Evolution Mining, Northern Star, Genesis Minerals, KCGM, Tronox, Yara, Iluka, Chevron, Woodside, Main Roads WA, PTA, Multiplex, Built, Water Corporation, Fremantle Ports",Diversified infrastructure services including…Diversified infrastructure services including engineering-led specialist Maintenance and Industrial Services and Engineering and Construction,,$585.00m,Subiaco,Yes,
Fluor Australia,9,26,Gareth Brown(General Manager - Asia Pacific (Interim)),1950,450,250,2,,,"Fluor provides engineering, procurement,…Fluor provides engineering, procurement, fabrication, construction (EPFC), maintenance, and project-management services to global Clients in diverse industries.",,,"Irving, TX, USA",Yes,Fluor Corporation (USA)
Tetra Tech Coffey,41,38,"Stewart Phillis(General Manager, Engineering)",2006,160,NFP,1,10,,"Mining Services, Engineering and Design,…Mining Services, Engineering and Design, Feasibility Studies, Tailings Management, Consulting Geotechnical Services, Environmental Services, Occupational Hygiene
Indoor Air Quality and Mould, Asbestos and Hazardous Materials, Contaminated Sites
Water Studies, Fuels Infrastructure, Renewables, On and Offshore Hazardous Materials Management and Project management",,,"Sydney, NSW",Yes,Tetra Tech
Innovent Engineering Group,111,,Michael O'Callaghan(Managing Director),2023,36,NFP,1,1,,"Engineering
Electrical
Air Pollution Control…Engineering
Electrical
Air Pollution Control
Structural, Mechanical, Piping",NFP,NFP,"Unit 3, 32 Harrison Rd, Forrestfield WA 6058",Yes,
WSP,3,5,Ryan Eales(WA Co-Regional Director),1962,"1,200",447,2,13,,"Property: building and infrastructure services …Property: building and infrastructure services (mechanical, electrical, hydraulics, fire protection, communications, security, architectural lighting, vertical transportation, ICT/audio visual), fire engineering, acoustics, health & safety, digital, environmental, energy, section J compliance, ESD, structural and facade engineering. - Transport: road, rail, tunnel and bridge engineering; maritime, aviation, asset management, digital engineering, planning & mobility, geotechnical and geo-environmental engineering. - Mining: Infrastructure and project delivery (civil, structural, mechanical, electrical engineering, 3D modelling/BIM, structural integrity and condition assessments), closure, water, waste, tailings, stability. - Energy: Energy generation, infrastructure, electrical, renewables, network connections. Programme delivery services, environmental, power, water.",,,"Montreal, CAN",,WSP
AECOM Australia,11,9,"Henry Westwood(Group Director, WA)",1947,280,230,1,14,"METRONET, Great Eastern Highway Bypass…METRONET, Great Eastern Highway Bypass Interchanges, Bunbury Outer Ring Road, Victoria Park-Canning Level Crossing Removal,  AMC1 Extension and Figure Wharf 7 & 8","Building engineering, energy, environment, mining…Building engineering, energy, environment, mining, process engineering, design and planning, transportation, transport planning and modelling, infrastructure services, program management, water, program cost control.",,,Brisbane,,AECOM
Silverstone,145,,,2018,,5,,,,,,,,Yes,
Douglas Partners,114,99,"Frederic Verheyde(Geotechnical Principal, Regional Manager (WA, NT) )",1954,15,NFP,1,22,,"Geotechnical, environmental and groundwater…Geotechnical, environmental and groundwater consulting services. Geotechnical investigations, foundation design, earthworks supervision, pavement investigations and design, contamination assessment, acid sulfate soils studies, environmental approvals, HAZMAT assessment, groundwater and dewatering modelling.",,,Sydney,,
MA Deacon Engineers,93,81,Stephen Connell(Chief Executive),2009,24,20,1,1,"Water and Waste Water Treatment, Stacker and…Water and Waste Water Treatment, Stacker and Reclaimer Life Assessments, Design and Verification of Pressure Vessels, Design and dynamic analysis of crusher installation","Design, verification, assessment and engineering…Design, verification, assessment and engineering solutions for plant, equipment and structures servicing the Utilities, Industrial, Oil & Gas, Waste and Mining industries. We support clients with existing aging equipment and/or design registered plant, located anywhere in Australia that value Quality, speed, trusted relationships and have core value alignment but are not looking for the cheapest price.",NFP,NFP,Rivervale,Yes,Family Trust
Bureau Veritas,67,54,"Tony Thomas(Manager, Key Accounts & Market Leader)",2007,,NFP,6,50,,"Engineering, inspection, non-destructive testing,…Engineering, inspection, non-destructive testing, verification, laboratory services.",,,"Level 11, 500 Collins Street, Melbourne VIC 3000",Yes,Bureau Veritas Australia Pty Ltd
Hera Engineering,82,,"Matteo Tirapelle(Founder, Managing Director)",2015,30,25,1,3,"UWA PBSA, Morley Galleria, Burswood Towers,…UWA PBSA, Morley Galleria, Burswood Towers, Claremont Medical Center","Structural engineering, Civil Engineering, Facade…Structural engineering, Civil Engineering, Facade Engineering Construction engineering.",,,Subiaco,Yes,Hera Engineering
Ertech,27,37,"James Giumelli(Chief Executive Officer Ertech, Chairman Ertech, Managing Director Ertech Holdings )",1981,650,NFP,3,3,NFP,"Ertech is an engineering contruction contractor…Ertech is an engineering contruction contractor delivering complex, multi-diciplined prjects for the resources, defence, transport, utilities and community infrastructure sectors.  Deep engineering expertise, robust systems, and skilled, self-performing civil and electrical teams drive our value-driven solutions and consistent performance.",NFP,NFP,"Wangara, WA",Yes,Ertech Holdings Pty Ltd
Porter Consulting Engineers,128,116,Brad Harris(Managing Director),1995,16,8,1,,"Cecil Avenue, Cannington;  Harrisdale North,…Cecil Avenue, Cannington;  Harrisdale North, Residential Subdivision; Batavia Coast Marina, DevelopmentWA; Kalgoorlie 450mm Sewer Main Extension; & Lenore Road duplication, Wanneroo","Land development for urban, rural, industrial and…Land development for urban, rural, industrial and commercial subdivisions, services design (water, sewer, pump stations and pressure mains), road design, tender and contract management, traffic and transport impact assessments, public works, feasibility studies and infrastructure planning, indicative development costs and resource development.",,,Mount Pleasant,Yes,Tusno Pty Ltd
Monadelphous,16,21,Rob Velletri(Executive Chair),1972,"4,581",193,9,10,"BHP, INPEX, Rio Tinto, Shell, Woodside","Monadelphous is an ASX 200 engineering group,…Monadelphous is an ASX 200 engineering group, providing construction,
maintenance and industrial services to the resources, energy and infrastructure sectors.",,,"Perth, WA",Yes,Monadelphous Group Limited
Stantec,20,12,"Brett Davis(Regional Director - Buildings, ANZ)",1961,322,NFP,3,24,"ECU Perth City Campus; Eaton Fair Shopping Centre…ECU Perth City Campus; Eaton Fair Shopping Centre expansion; Australia Hockey Centre; WACA Redevelopment, Bunbury Hospital Redevelopment","Buildings (Acoustics, Electrical, Energy, Fire,…Buildings (Acoustics, Electrical, Energy, Fire, Hydraulics, Mechanical, Structural, Sustainability, Vertical Transportation), Civil Land Development, Mining",,,"Edmonton, Canada",,Stantec Inc
Intellect Systems,42,44,Jason Monzu(Managing Director),2005,120,75,2,,"Western Range, Iron Bridge, Eliwana, Koodaideri,…Western Range, Iron Bridge, Eliwana, Koodaideri, CBH, BHP, Roy Hill","$30M) across process and non process infrastructure.  As a specialist service provider to the decarbonisation and energy transition market Intellect Systems has a large exposure to the renewables and clean energy along with tradition energy, mining and metals, agriculture, infrastructure and utilities sectors.

Our key service and product offerings are:

•             LV and HV Electrical Design 
•             HV and LV Power Systems Studies
•             Control System Design and Software Development
•             Communications Design
•             Functional Safety Design and Compliance
•             Manufacture of Field Control and Communication Panels 
•             Manufacture of Distribution Boards and Junction Boxes 
•             Manufacture of Motor Control Centres (MCC’s)
•             Manufacture of Switch rooms and HV Kiosks
•             EC+I Commissioning, Completions and Site Support
•             Process Optimisation
•             Electrical and Control Systems Audits
•             Training and Educational services
"">Established in 2005 Intellect Systems are an ISO…Established in 2005 Intellect Systems are an ISO 9001 and ISO 45001 certified organisation specialising in providing End to End Operational Technology solutions in Electrical, Communications, Instrumentation and Control Systems.   With offices in the Perth CBD and state of the art manufacturing facilities in Canning Vale Intellect Systems provide an in house full service Operational Technology offering underpinned by seamless project delivery across our integrated Engineering, Manufacturing and Site Services capability.  

Over nearly two decades Intellect Systems have built a successful track record as a specialist service provider to many of the Tier 1 End Users and operators locally and Australia wide as well as supplemented execution capabilities to many EPC, EPCM and Construction contractors.  

Intellect Systems portfolio of project delivery ranges from small (<$10K) to large (>$30M) across process and non process infrastructure.  As a specialist service provider to the decarbonisation and energy transition market Intellect Systems has a large exposure to the renewables and clean energy along with tradition energy, mining and metals, agriculture, infrastructure and utilities sectors.

Our key service and product offerings are:

•             LV and HV Electrical Design 
•             HV and LV Power Systems Studies
•             Control System Design and Software Development
•             Communications Design
•             Functional Safety Design and Compliance
•             Manufacture of Field Control and Communication Panels 
•             Manufacture of Distribution Boards and Junction Boxes 
•             Manufacture of Motor Control Centres (MCC’s)
•             Manufacture of Switch rooms and HV Kiosks
•             EC+I Commissioning, Completions and Site Support
•             Process Optimisation
•             Electrical and Control Systems Audits
•             Training and Educational services",$30.00m,$40.00m,Perth,Yes,
Wood Australia,2,3,"Ralph Ellis(President, Operations Asia Pacific)",1978,"1,030",NFP,2,3,"Shell Prelude EPC Services, Chevron MSA, Woodside…Shell Prelude EPC Services, Chevron MSA, Woodside Brownfield EPCM services, Santos engineering services,  INPEX engineering services","Consulting, engineering, implementation and…Consulting, engineering, implementation and maintenance services to the energy and materials sectors including concept selection, FEED, detailed design, procurement, construction management, construction services, repurposing/decommissioning and project management.",,,"Aberdeen, UK",Yes,Wood plc
Wave International,25,18,Robin Macaskill(Chief Operating Officer - Wave International),1999,160,NFP,1,3,"Mining infrastructure, Advisory & Studies, Water","Engineering, detailed design, studies, project…Engineering, detailed design, studies, project management, project services.",,,Perth,Yes,Karli Holdings Pty Ltd
RPS,126,103,Murray Burling(Executive Director),2003,193,8,3,21,,"Mine water management (surface and groundwater),…Mine water management (surface and groundwater), dewatering, coastal engineering, hydrogeology, groundwater and surface water management, water resources engineering, modelling, water resource management.",,,Brisbane,,"Tetra Tech, Inc."
Ausenco,63,,Reuben Joseph(President - APAC/Africa),1995,NFP,NFP,,,,"Feasibility studies, mine planning, detailed…Feasibility studies, mine planning, detailed engineering",,,,Yes,
Aurecon,6,7,"Ben Lambert(Regional Managing Director, WA & NT)",1950,435,300,1,20,"Bunbury Outer Ring Road, Bellevue railcar depot -…Bunbury Outer Ring Road, Bellevue railcar depot - Midland line extension project, Perth airport extension","Aurecon provides global engineering, management…Aurecon provides global engineering, management and specialist technical services to government and private sector clients. It has been involved in projects in over 80 countries across Africa, Asia Pacific, the Middle East and the Americas.",,,"Sydney, NSW",,Aurecon Australasia Pty Ltd
Georgiou Group,18,15,John Georgiou(Chairman of the Board),1977,501,185,2,3,"Midland Junction Alliance, Fitzroy Bridge…Midland Junction Alliance, Fitzroy Bridge Alliance, GTCP Perth Airport, Ocean Reef Marina for Development WA, Mandurah Estuary Bridge Duplication for Main Roads WA","Georgiou Group is a national civil and building…Georgiou Group is a national civil and building construction company, delivering major projects across Australia.",$1.04bn,$1.30bn,"Osborne Park, WA",Yes,Georgiou Family Pty Ltd
BG&E,36,25,Anthony Wood(Director - WA),1970,400,NFP,3,11,"Bayswater Station, Tonkin Gap, Chevron…Bayswater Station, Tonkin Gap, Chevron Headquarers, Eastlink WA, Rio Tinto Haul Roads,  FMG Design Services","Design / Engineering services for Transport,…Design / Engineering services for Transport, Infrastructure, Buildings, Defence, Industrial, Resources and Energy Clients",,,,Yes,
Titan ICT,49,40,Chris Upstone(Managing Director),2003,65,53,1,3,,"Strategic ICT advice, systems integration,…Strategic ICT advice, systems integration, technical support services",,,"Level 2, 507 Murray Street, Perth WA 6000",Yes,Titan ICT Pty Ltd
A-1 Engineering,,,"Pauric McCaughey(Director, Founder)",2024,,,,,,"A-1 Engineering provides a range of fire safety…A-1 Engineering provides a range of fire safety engineering services, including: Performance Solutions, BCA Compliance, Fire and Smoke Modelling, Fire Safety Audits, Evacuation Modelling, Fire Risk, Assessment, Structural Fire Engineering",,,Perth,Yes,
Enscope,24,33,Kane Ramsay(President),2009,160,125,1,3,,"Enscope are specialists in the field of gas…Enscope are specialists in the field of gas compression and gas processing for Australia's pipeline industry and tier 2 gas producers.  Enscope can provide a total project delivery service from concept design through to commissioning and start-up, on either an EPCM and Turnkey Lump Sum EPC basis.",NFP,NFP,"Leederville, WA",Yes,Quanta Services Inc
Xodus Group,44,,"Simon Allison(Vice President, Asia Pacific)",2004,100,65,1,1,,,,,Aberdeen,,
